flow,compartment,unit,amount
Dump Site,Land use / Land occupation,square meter-year,0.000205264212813468
Xenon-135m,air,kilo Becquerel,0.00019765979564382083
Uranium alpha,emissions to water / lake,kilo Becquerel,0.00019563899983292247
Water,Resources / Resources from water,cubic meter,0.00019304684719997933
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0001863092010553364
Methane (fossil),Emissions / Emissions to air,kilogram,0.00018443532163410443
Water,air,cubic meter,0.00018308380407651306
Iron,Emissions / Emissions to water,kilogram,0.00018131107672111134
Aluminium,Resources / Resources from ground,kilogram,0.00016454061119553217
Sulfate Ion,water,kilogram,0.00016383391854992268
Dolomite,soil,kilogram,0.0001584473999644131
Radon-220,air,kilo Becquerel,0.0001398661232657427
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00013889512853024172
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.00012777592285048234
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.00012134054941314145
Particles (> PM10),air,kilogram,0.00011540476913142365
Radium-224,water,kilo Becquerel,0.000114912294262859
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00011088729034159572
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.00010724190038701442
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00010230798002985863
Radon-220,air,kilo Becquerel,0.0001014506083699405
Phosphate,Emissions / Emissions to water,kilogram,9.735757992498429e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,9.356415726943234e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,9.349706041962583e-05
Thorium-228,water,kilo Becquerel,9.117671820068261e-05
Radium-224,water,kilo Becquerel,9.002999723246229e-05
strontium,Emissions / Emissions to water,kilogram,8.903457987599613e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,8.762744188256051e-05
Polonium-210,Emissions / Emissions to air,kilo Becquerel,8.628260879952843e-05
Calcium,Emissions / Emissions to water,kilogram,8.576526070106691e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,8.413656900857811e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,8.318968311072394e-05
Hypochlorite,water,kilogram,8.30877244197126e-05
Uranium-235,Emissions / Emissions to water,kilo Becquerel,8.069553668485574e-05
