flow,compartment,unit,amount
Xenon-135,air,kilo Becquerel,2.8615484129194324e-05
aluminium,Emissions / Emissions to water,kilogram,2.7919376441146296e-05
Phosphate,Emissions / Emissions to water,kilogram,2.338468044066476e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,2.3352938461909077e-05
"To Forest, Intensive",Land use / Land transformation,square meter,2.333923722186551e-05
"From Forest, Intensive",Land use / Land transformation,square meter,2.3319132209117655e-05
Waste Heat,water,megajoule,2.3076946895221622e-05
Radium-228,water,kilo Becquerel,2.2485916321489835e-05
Sulfate Ion,water,kilogram,2.2478797759251868e-05
Dolomite,soil,kilogram,2.244523006162762e-05
Peat,Resources / Resources from ground,megajoule,2.215767369178377e-05
Lead-210,water,kilo Becquerel,2.1829384499906165e-05
Sodium,water,kilogram,2.1573230944097815e-05
Dump Site,Land use / Land occupation,square meter-year,2.139857536547876e-05
Sodium,water,kilogram,2.107117987342719e-05
Krypton-89,air,kilo Becquerel,2.105333334758756e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1.978813472003564e-05
Methane (fossil),Emissions / Emissions to air,kilogram,1.9103291369011377e-05
copper,Emissions / Emissions to water,kilogram,1.864774287528541e-05
Chloride,Emissions / Emissions to water,kilogram,1.6433814306787504e-05
Radium-228,water,kilo Becquerel,1.3841848589734977e-05
Lead-210,water,kilo Becquerel,1.3713874476750698e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.3147075754244984e-05
Ground Water,Resources / Resources from water,cubic meter,1.2452626378454852e-05
manganese,Emissions / Emissions to water,kilogram,1.2143175353813108e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.1334244755833954e-05
Chemical Oxygen Demand,water,kilogram,1.1160988051311539e-05
Biological Oxygen Demand,water,kilogram,1.1074179653244363e-05
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,1.0304559976290925e-05
Iodine-131,Emissions / Emissions to air,kilo Becquerel,1.0295264405504461e-05
Methane (fossil),Emissions / Emissions to air,kilogram,9.95168665910227e-06
Barite,resources / in ground,kilogram,9.756971520986712e-06
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,9.516064828467286e-06
Nitrate,Emissions / Emissions to water,kilogram,9.195141262784528e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,9.076988726811073e-06
Silver-110,Emissions / Emissions to water,kilo Becquerel,8.88066804409298e-06
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,8.842265919142518e-06
Magnesite,soil,kilogram,8.835366049283417e-06
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,8.28364974331806e-06
fluoride,Emissions / Emissions to water,kilogram,8.04285116205914e-06
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,7.986209804345686e-06
Xenon-133m,air,kilo Becquerel,7.838766889605432e-06
Phosphate,Emissions / Emissions to water,kilogram,7.68611367312346e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,7.66049504464094e-06
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,7.261185282888278e-06
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,7.249463697214468e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,7.056471391484847e-06
Uranium-235,Emissions / Emissions to water,kilo Becquerel,6.9323404796396815e-06
"Solids, Inorganic",water,kilogram,6.719184331621884e-06
Fluorspar,soil,kilogram,6.467884422586106e-06
Calcium,Emissions / Emissions to water,kilogram,6.466612805307836e-06
"Clay, bentonite",resources / in ground,kilogram,6.310148379759615e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,6.268911058431708e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.262807218369464e-06
Hypochlorite,water,kilogram,6.214832773703561e-06
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.7936107023361916e-06
Chromium,Resources / Resources from ground,kilogram,5.7268565467693235e-06
Radium-224,water,kilo Becquerel,5.669905510346803e-06
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,5.6200362115168245e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.404908312934883e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.404908312934489e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,5.174356832808118e-06
Total Organic Carbon,water,kilogram,5.034875160641688e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,5.027999652627022e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.7964612313655144e-06
Xenon-138,air,kilo Becquerel,4.749238263957952e-06
Thorium-228,water,kilo Becquerel,4.50138140414496e-06
Xenon-137,air,kilo Becquerel,4.32603401954257e-06
zinc,Emissions / Emissions to water,kilogram,4.299689997403639e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,4.18155981088788e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.058473960335926e-06
Calcium,Emissions / Emissions to water,kilogram,4.051041894064369e-06
Uranium-234,Emissions / Emissions to water,kilo Becquerel,4.043980464637173e-06
Chemical Oxygen Demand,water,kilogram,3.995788942211958e-06
Agriculture,Land use / Land occupation,square meter-year,3.8866804067414036e-06
Lead,Resources / Resources from ground,kilogram,3.814952120672234e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,3.6126882685935973e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,3.493925146469091e-06
Biological Oxygen Demand,water,kilogram,3.4934574899357333e-06
Radium-224,water,kilo Becquerel,3.490443403477476e-06
Particles (> PM10),air,kilogram,3.4723170098010335e-06
From Pasture/meadow,Land use / Land transformation,square meter,3.3419324854063417e-06
Thorium-234,water,kilo Becquerel,3.3400289263983553e-06
Protactinium-234,water,kilo Becquerel,3.3393766985383573e-06
"DOC, Dissolved Organic Carbon",water,kilogram,3.2548234173499448e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,3.1711685586695786e-06
Radon-220,air,kilo Becquerel,3.1710280607131695e-06
Iron,Emissions / Emissions to water,kilogram,3.1509694624677303e-06
Nickel,Resources / Resources from ground,kilogram,3.1208602848392648e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,3.049646192977066e-06
boron,Emissions / Emissions to water,kilogram,2.9139910700556496e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,2.8868365334477568e-06
strontium,Emissions / Emissions to water,kilogram,2.8609879741598207e-06
Zinc,Resources / Resources from ground,kilogram,2.8402452164524516e-06
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,2.8298711948398972e-06
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,2.806244500710213e-06
Calcium,Emissions / Emissions to water,kilogram,2.800746176069867e-06
Thorium-228,water,kilo Becquerel,2.768446816659079e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,2.746121726660338e-06
"Suspended Solids, Unspecified",water,kilogram,2.7067368732682868e-06
Manganese,Resources / Resources from ground,kilogram,2.6929303465401697e-06
lake water,Resources / Resources from water,cubic meter,2.5833947415189356e-06
Radon-220,air,kilo Becquerel,2.5345280735847337e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,2.383243313867914e-06
Chromium-51,water,kilo Becquerel,2.2656845122112453e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,2.1863456026606736e-06
Argon-41,air,kilo Becquerel,2.0222151742767194e-06
Nitrate,Emissions / Emissions to water,kilogram,1.976792601956826e-06
Magnesium,natural resource,kilogram,1.9456494491173744e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.9034493476501196e-06
Polonium-210,Emissions / Emissions to air,kilo Becquerel,1.869538712436513e-06
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,1.8561753151794812e-06
From Forest,Land use / Land transformation,square meter,1.7844049288842936e-06
Particles (> PM10),air,kilogram,1.6842067001191441e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,1.6382928737571326e-06
Sodium,water,kilogram,1.6223456784848044e-06
titanium,Emissions / Emissions to water,kilogram,1.6215185243062356e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.597614130548281e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.5523461797308207e-06
Uranium-234,Emissions / Emissions to air,kilo Becquerel,1.5346688063024505e-06
Magnesium,Emissions / Emissions to water,kilogram,1.509696115535387e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.5048731426444745e-06
To Forest,Land use / Land transformation,square meter,1.5040792512034272e-06
Hydrogen,air,kilogram,1.4631513274592326e-06
Total Organic Carbon,water,kilogram,1.4217643322016405e-06
Particles (PM10),Emissions / Emissions to air,kilogram,1.351724628402801e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.35004971027146e-06
From Unspecified,Land use / Land transformation,square meter,1.3162938939018383e-06
Lead-210,Emissions / Emissions to air,kilo Becquerel,1.1993077461243678e-06
Kaolinite,soil,kilogram,1.168544817947217e-06
Iodine-129,Emissions / Emissions to air,kilo Becquerel,1.1439489626791677e-06
Zinc-65,water,kilo Becquerel,1.141451896874447e-06
Xenon-131m,air,kilo Becquerel,1.138374751412839e-06
Construction Site,Land use / Land occupation,square meter-year,1.1198303616356506e-06
Total Organic Carbon,water,kilogram,1.0467868808257804e-06
Particles (PM10),Emissions / Emissions to air,kilogram,1.010524019878616e-06
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,9.82012554833118e-07
iron,Emissions / Emissions to air,kilogram,9.182387017906286e-07
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,8.751396782319205e-07
"Wood, soft, standing",resources / biotic,cubic meter,8.582301653787698e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,8.560060256538684e-07
To Industrial Area,Land use / Land transformation,square meter,8.550822589138392e-07
Aluminium,Emissions / Emissions to air,kilogram,8.444104803177566e-07
Aluminium,Emissions / Emissions to air,kilogram,8.236271850663665e-07
To Inland Water Bodies,land use,square meter,8.17274397600008e-07
Sulfate Ion,air,kilogram,7.775035942262541e-07
Polonium-210,water,kilo Becquerel,7.587779689207294e-07
nickel,Emissions / Emissions to water,kilogram,7.439710314363472e-07
Molybdenum,Resources / Resources from ground,kilogram,7.332497611437913e-07
Potassium chloride,resources / in ground,kilogram,6.991926067709604e-07
Pentane,Emissions / Emissions to air,kilogram,6.990554017169124e-07
Titanium,Resources / Resources from ground,kilogram,6.799351414396879e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,6.736826799736154e-07
Silicon,Emissions / Emissions to water,kilogram,6.641260599474786e-07
Magnesium,Emissions / Emissions to water,kilogram,6.565296514962028e-07
"Wood, hard, standing",resources / biotic,cubic meter,6.554178916713057e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.377250078935956e-07
Manganese-54,Emissions / Emissions to water,kilo Becquerel,6.094314648327325e-07
Sulfate Ion,water,kilogram,5.897693671074197e-07
barium,Emissions / Emissions to water,kilogram,5.722408742918401e-07
Potassium,water,kilogram,5.607829008909749e-07
To Mineral Extraction Site,Land use / Land transformation,square meter,5.40617227794319e-07
Nitrogen,air,kilogram,5.396136794269356e-07
Polonium-210,water,kilo Becquerel,5.340130694648332e-07
Methane (fossil),Emissions / Emissions to air,kilogram,5.257908414281377e-07
To Dump Site,Land use / Land transformation,square meter,5.216505251644804e-07
Antimony-124,Emissions / Emissions to water,kilo Becquerel,5.017358911452426e-07
From Shrub Land,Land use / Land transformation,square meter,4.985951706607647e-07
Potassium-40,water,kilo Becquerel,4.959007236217916e-07
To Water Bodies,land use,square meter,4.943244558640707e-07
Thorium-230,Emissions / Emissions to air,kilo Becquerel,4.84027639118683e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,4.5403026440616294e-07
Potassium,water,kilogram,4.5356291411433735e-07
Potassium,water,kilogram,4.522160717132128e-07
Antimony-125,Emissions / Emissions to water,kilo Becquerel,4.503855040662646e-07
Biological Oxygen Demand,water,kilogram,4.26182964144389e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,3.995511604417763e-07
Ammonia,Emissions / Emissions to air,kilogram,3.8946865602383927e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.7426654719937625e-07
Soil,soil,kilogram,3.728088039541842e-07
Ozone,air,kilogram,3.6730388798619313e-07
To Arable,Land use / Land transformation,square meter,3.648967991409315e-07
Chloride,Emissions / Emissions to soil,kilogram,3.6385978429947383e-07
Oxygen,air,kilogram,3.5657633032464137e-07
Carbon disulfide,Emissions / Emissions to air,kilogram,3.421695570656435e-07
cobalt,Emissions / Emissions to water,kilogram,3.043803779807222e-07
HFC-152a,Emissions / Emissions to air,kilogram,2.819558978038669e-07
Boron,Emissions / Emissions to water,kilogram,2.759126508830729e-07
Calcium,Emissions / Emissions to air,kilogram,2.7454876947014073e-07
Ethane,Emissions / Emissions to air,kilogram,2.728676601271947e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.708327068709884e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,2.662393809382466e-07
Phosphorus,Resources / Resources from ground,kilogram,2.660681817699947e-07
"DOC, Dissolved Organic Carbon",water,kilogram,2.649890781237474e-07
From Seabed,land use,square meter,2.5673115900407705e-07
Particles (> PM10),air,kilogram,2.5392874413051327e-07
Technetium-99m,water,kilo Becquerel,2.5380246005283854e-07
Trifluoromethane,Emissions / Emissions to air,kilogram,2.5221969499502757e-07
Cesium-134,Emissions / Emissions to water,kilo Becquerel,2.489388961985028e-07
Calcium,Emissions / Emissions to soil,kilogram,2.442237058581004e-07
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,2.3954194630381304e-07
"Solids, Inorganic",water,kilogram,2.3789190379549905e-07
Potassium,air,kilogram,2.3714284765055807e-07
Colemanite,soil,kilogram,2.3610888545510714e-07
From Mineral Extraction Site,Land use / Land transformation,square meter,2.3609407784640123e-07
Aluminium,Emissions / Emissions to water,kilogram,2.3477567478429668e-07
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,2.3442062782579153e-07
"Aerosols, Radioactive, Unspecified",air,kilo Becquerel,2.3359878340048343e-07
Sodium,soil,kilogram,2.2224072430844746e-07
tin,Emissions / Emissions to water,kilogram,2.2023989299689864e-07
Sodium sulfate,resources / in ground,kilogram,2.1791320168468388e-07
Ammonia,Emissions / Emissions to air,kilogram,2.1363448998658e-07
chloride,Emissions / Emissions to soil,kilogram,2.125879691916402e-07
Chemical Oxygen Demand,water,kilogram,2.117287986411379e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.113276044741198e-07
Ammonium,Emissions / Emissions to water,kilogram,2.0892911055043015e-07
Sand,soil,kilogram,1.9871062189036883e-07
Artificial Areas,Land use / Land occupation,square meter-year,1.9580742249280766e-07
Silicon,Emissions / Emissions to air,kilogram,1.880312905038159e-07
Strontium-89,water,kilo Becquerel,1.8566106074722498e-07
Sulfate Ion,air,kilogram,1.85064017571516e-07
"DOC, Dissolved Organic Carbon",water,kilogram,1.8473696372481284e-07
Carbon,soil,kilogram,1.8160263881297862e-07
Iron,Emissions / Emissions to water,kilogram,1.752491422854603e-07
"Sand, resource correction",resources / in ground,kilogram,1.7395614481798122e-07
Sodium chloride,resources / in water,kilogram,1.7237233406980075e-07
arsenic,Emissions / Emissions to water,kilogram,1.7087354526873247e-07
Carbonate Ion,water,kilogram,1.6670860218155974e-07
Fluoride Ion,Emissions / Emissions to water,kilogram,1.6631168571508378e-07
Ethylene,Emissions / Emissions to air,kilogram,1.6608632739810145e-07
Particles (PM10),Emissions / Emissions to air,kilogram,1.601594543000624e-07
Barium sulfate,Emissions / Emissions to water,kilogram,1.5845724845186193e-07
Nitrogen Dioxide,Emissions / Emissions to air,kilogram,1.550349666446144e-07
Strontium,Emissions / Emissions to water,kilogram,1.5364621140878866e-07
vanadium,Emissions / Emissions to water,kilogram,1.5232980133606044e-07
From Arable,Land use / Land transformation,square meter,1.521071726745629e-07
Particles (> PM10),air,kilogram,1.502875471952573e-07
lead,Emissions / Emissions to water,kilogram,1.4853551080957855e-07
Water,Emissions / Emissions to water,cubic meter,1.4482894974197482e-07
Potassium,air,kilogram,1.4442648561993255e-07
Carbonate Ion,water,kilogram,1.4360053099850915e-07
Thorium-234,air,kilo Becquerel,1.408707984985609e-07
Protactinium-234,air,kilo Becquerel,1.408097837418555e-07
Shrub Land,Land use / Land occupation,square meter-year,1.3351137468443382e-07
Particles (PM10),Emissions / Emissions to air,kilogram,1.3132952872227974e-07
Water,air,cubic meter,1.2745434521335413e-07
Carbon-14,Emissions / Emissions to water,kilo Becquerel,1.2685665170936141e-07
"Urban, Continuously Built",Land use / Land occupation,square meter-year,1.218811425939577e-07
iron,Emissions / Emissions to soil,kilogram,1.2108922289716485e-07
Talc,resources / in ground,kilogram,1.2074708256374047e-07
Iodine-129,Emissions / Emissions to water,kilo Becquerel,1.1816361994892113e-07
Strontium,Emissions / Emissions to water,kilogram,1.1752762343048094e-07
Iodine-131,Emissions / Emissions to water,kilo Becquerel,1.1456195829034509e-07
