flow,compartment,unit,amount
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,4.284624335844526
"To Arable, Non-irrigated",Land use / Land transformation,square meter,4.184817733007296
Water,air,cubic meter,4.165196489083443
Xenon-135m,air,kilo Becquerel,4.1180646610174945
Xenon-133,Emissions / Emissions to air,kilo Becquerel,4.109511818869086
"From Arable, Non-irrigated",Land use / Land transformation,square meter,4.070536459980822
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,3.960343966398269
Sulfur Dioxide,Emissions / Emissions to air,kilogram,3.952670047409211
Methane (fossil),Emissions / Emissions to air,kilogram,3.8521871233510843
Methane (fossil),Emissions / Emissions to air,kilogram,3.8161185297126434
Chemical Oxygen Demand,water,kilogram,3.5111999266672553
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.4336099996449825
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.433609999644159
chloride,Emissions / Emissions to water,kilogram,3.2810771692984786
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,3.2282822409154672
Nitrate,Emissions / Emissions to water,kilogram,3.2012339363515516
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,3.068130023959819
zinc,Emissions / Emissions to water,kilogram,2.8137936559302843
"To Forest, Intensive",Land use / Land transformation,square meter,2.6985564866908813
"From Forest, Intensive",Land use / Land transformation,square meter,2.6780051982010065
Biological Oxygen Demand,water,kilogram,2.4767230423853466
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.431828921697169
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,2.344033227222052
Cesium-137,Emissions / Emissions to water,kilo Becquerel,2.277162198379016
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,2.27466478821073
Chloride,Emissions / Emissions to water,kilogram,2.2197645316073173
Barite,resources / in ground,kilogram,2.184274642772434
boron,Emissions / Emissions to water,kilogram,2.0509813274694246
Uranium alpha,emissions to water / river,kilo Becquerel,2.002756529224131
Argon-41,air,kilo Becquerel,1.8393974991625157
Polonium-210,Emissions / Emissions to air,kilo Becquerel,1.8287065155298696
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.7742082490161835
Potassium chloride,resources / in ground,kilogram,1.7665284399274863
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.7077903142684798
Hypochlorite,water,kilogram,1.6805060122061803
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,1.6626449056388801
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.6268292903012382
Basalt,soil,kilogram,1.621346787693644
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.6102157914871718
Radium-224,water,kilo Becquerel,1.5612870337390208
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.52688565293038
Chemical Oxygen Demand,water,kilogram,1.5023682181697022
Biological Oxygen Demand,water,kilogram,1.4918920311874864
