flow,compartment,unit,amount
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.2011585008976483e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.016164884732281e-05
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,1.9556735951049458e-05
Xenon-135m,air,kilo Becquerel,1.9334205803287086e-05
Total Organic Carbon,water,kilogram,1.9184897822291205e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,1.829185248864689e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.5616918820233142e-05
Construction Site,Land use / Land occupation,square meter-year,1.4754482778386178e-05
Chromium,Resources / Resources from ground,kilogram,1.3354369131134919e-05
Thorium-230,water,kilo Becquerel,1.2333363156704661e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.2230960811913565e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.223096081191354e-05
river water,Resources / Resources from water,cubic meter,1.2139200745822097e-05
Argon-41,air,kilo Becquerel,1.1901106336850429e-05
Dump Site,Land use / Land occupation,square meter-year,1.1326920855439927e-05
"Suspended Solids, Unspecified",water,kilogram,1.1293293613070265e-05
aluminium,Emissions / Emissions to water,kilogram,1.1150819742902939e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,1.0533505284876103e-05
Ethane,Emissions / Emissions to air,kilogram,1.0501251626409746e-05
From Forest,Land use / Land transformation,square meter,9.209501768758732e-06
Magnesium,Emissions / Emissions to water,kilogram,9.047432869658038e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,8.999119770187555e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,8.87133279288575e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,8.781359018920036e-06
Total Organic Carbon,water,kilogram,8.761702322510978e-06
To Arable,Land use / Land transformation,square meter,8.610996584656459e-06
Manganese,Resources / Resources from ground,kilogram,8.510637485650847e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,8.433411963097965e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,7.921254388231167e-06
Nickel,Resources / Resources from ground,kilogram,7.890495168977464e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,7.801706913002269e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,7.293248873385318e-06
"Clay, bentonite",resources / in ground,kilogram,7.073168989832415e-06
Sulfate Ion,water,kilogram,7.003018851680582e-06
From Pasture/meadow,Land use / Land transformation,square meter,6.788673952884317e-06
chloride,Emissions / Emissions to water,kilogram,6.630095532761332e-06
Potassium,water,kilogram,6.2556603387610405e-06
iron,Emissions / Emissions to water,kilogram,6.0663191775768145e-06
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,5.625312407849308e-06
Ground Water,Resources / Resources from water,cubic meter,5.493407629221088e-06
Waste water,emissions to water / river,kilogram,5.4721718772059885e-06
Sulfate Ion,water,kilogram,5.280087849567498e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,5.241426852378056e-06
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,5.19455584633946e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,5.042893980441334e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,4.700946645174457e-06
Phosphate,Emissions / Emissions to water,kilogram,4.6893838819126024e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,4.618662008978268e-06
Magnesium,Emissions / Emissions to water,kilogram,4.351318893344808e-06
Biological Oxygen Demand,water,kilogram,4.298318911142394e-06
Aluminium,Resources / Resources from ground,kilogram,4.2608230100643095e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,4.126311893089123e-06
To Dump Site,Land use / Land transformation,square meter,3.833422138047743e-06
From Seabed,land use,square meter,3.6849855767675593e-06
Uranium alpha,emissions to water / river,kilo Becquerel,3.682324301701479e-06
Potassium,water,kilogram,3.504035801346912e-06
Particles (> PM10),air,kilogram,3.4486535912703738e-06
Sulfate Ion,water,kilogram,3.442237574872776e-06
Xenon-138,air,kilo Becquerel,3.432591301407666e-06
Air,air,kilogram,3.2776448604835375e-06
Iodine-131,Emissions / Emissions to air,kilo Becquerel,3.202639017443105e-06
Methane (fossil),Emissions / Emissions to air,kilogram,3.172005831589268e-06
Xenon-131m,air,kilo Becquerel,3.0361160726568134e-06
"To Forest, Intensive",Land use / Land transformation,square meter,2.933852683094795e-06
"From Forest, Intensive",Land use / Land transformation,square meter,2.758913407591558e-06
Inland Water Bodies,land use,square meter-year,2.710204806007473e-06
Chemical Oxygen Demand,water,kilogram,2.6600469441364858e-06
Calcium,Emissions / Emissions to soil,kilogram,2.6274004446977065e-06
Fluorspar,soil,kilogram,2.5500175335055394e-06
Propane,Emissions / Emissions to air,kilogram,2.439472491388882e-06
Polonium-210,water,kilo Becquerel,2.3872882070870924e-06
chloride,Emissions / Emissions to soil,kilogram,2.2989711113758068e-06
Barium sulfate,Emissions / Emissions to water,kilogram,2.249064752703567e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,2.192449557671203e-06
Particles (PM10),Emissions / Emissions to air,kilogram,2.1518939583245114e-06
Chloride,Emissions / Emissions to water,kilogram,2.133489564498607e-06
Strontium,Emissions / Emissions to water,kilogram,2.1209779152605064e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,2.119840098502258e-06
"DOC, Dissolved Organic Carbon",water,kilogram,2.116745761382042e-06
Biological Oxygen Demand,water,kilogram,2.0793641472209354e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,2.055521392628454e-06
Used Air,air,kilogram,2.0436784610141464e-06
Waste water,emissions to water / ocean,kilogram,2.015484317721445e-06
Carbon,soil,kilogram,1.9705443717927455e-06
Aluminium,Emissions / Emissions to water,kilogram,1.9608700873287794e-06
manganese,Emissions / Emissions to water,kilogram,1.9594698045986467e-06
Water,air,cubic meter,1.8830995127650136e-06
fluoride,Emissions / Emissions to water,kilogram,1.8010365165163107e-06
Nitrate,Emissions / Emissions to water,kilogram,1.7411291854052443e-06
Carbonate Ion,water,kilogram,1.733094759275348e-06
Silicon,Emissions / Emissions to water,kilogram,1.6891101160503492e-06
Xenon-133,Emissions / Emissions to air,kilo Becquerel,1.6873071908270192e-06
Potassium chloride,resources / in ground,kilogram,1.68641294419256e-06
Copper,Resources / Resources from ground,kilogram,1.673030389058666e-06
Krypton-85m,air,kilo Becquerel,1.6690622813535178e-06
strontium,Emissions / Emissions to water,kilogram,1.5480971101756697e-06
"Solids, Inorganic",water,kilogram,1.5262062809702686e-06
barium,Emissions / Emissions to water,kilogram,1.5120971890347567e-06
From Unspecified,Land use / Land transformation,square meter,1.4940537634698777e-06
Water,Emissions / Emissions to water,cubic meter,1.3942178835580743e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.3773315473968994e-06
Sodium,soil,kilogram,1.3172815180028915e-06
iron,Emissions / Emissions to soil,kilogram,1.313719853057426e-06
Iron,Emissions / Emissions to water,kilogram,1.3020446146346026e-06
Chemical Oxygen Demand,water,kilogram,1.2655679145386705e-06
"Carboxylic Acids, Unspecified",water,kilogram,1.165560344356897e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.1537250946105287e-06
"DOC, Dissolved Organic Carbon",water,kilogram,1.113589551873832e-06
Radon-220,air,kilo Becquerel,1.1104645316102173e-06
Phosphate,Emissions / Emissions to water,kilogram,1.0965122542131105e-06
Butane,Emissions / Emissions to air,kilogram,1.0325236896401103e-06
Ammonium,Emissions / Emissions to water,kilogram,1.002635645157237e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,9.981458957444805e-07
Calcium,Emissions / Emissions to water,kilogram,9.733947535193123e-07
Strontium,Emissions / Emissions to water,kilogram,9.672056974048289e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,9.54641197891821e-07
Uranium alpha,emissions to water / lake,kilo Becquerel,9.157119819859768e-07
Hydrogen,air,kilogram,8.97787601516797e-07
Titanium,Resources / Resources from ground,kilogram,8.398661108528516e-07
To Mineral Extraction Site,Land use / Land transformation,square meter,8.030234352912221e-07
Barium,Emissions / Emissions to water,kilogram,8.010883897038561e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,7.983733814382162e-07
Carbonate Ion,water,kilogram,7.787832780434146e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,7.277555010022798e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,7.176518235760107e-07
Sodium sulfate,resources / in ground,kilogram,7.156044094615993e-07
To Industrial Area,Land use / Land transformation,square meter,7.02116413276643e-07
Chemical Oxygen Demand,water,kilogram,6.922320863116137e-07
Biological Oxygen Demand,water,kilogram,6.87240381450361e-07
Basalt,soil,kilogram,6.862716834199967e-07
Phosphorus,Resources / Resources from ground,kilogram,6.756566516055061e-07
aluminium,Emissions / Emissions to soil,kilogram,6.568480609442596e-07
nickel,Emissions / Emissions to water,kilogram,6.282020739671661e-07
Krypton-88,air,kilo Becquerel,5.889066422810474e-07
To Water Bodies,land use,square meter,5.826440660851372e-07
Nitrate,Emissions / Emissions to water,kilogram,5.713727130972108e-07
Krypton-87,air,kilo Becquerel,5.486605969720488e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,5.325988772219892e-07
Magnesium,Emissions / Emissions to soil,kilogram,5.254784901769461e-07
Radon-220,air,kilo Becquerel,5.203340878939362e-07
"Carboxylic Acids, Unspecified",water,kilogram,5.115858364018536e-07
zinc,Emissions / Emissions to water,kilogram,4.985215631125681e-07
Polonium-210,Emissions / Emissions to air,kilo Becquerel,4.7053917214802255e-07
Ammonium,Emissions / Emissions to water,kilogram,4.687639435134803e-07
Sodium,water,kilogram,4.674478322694242e-07
titanium,Emissions / Emissions to water,kilogram,4.582789980903418e-07
Lead,Resources / Resources from ground,kilogram,4.543571601968669e-07
Zinc,Resources / Resources from ground,kilogram,4.467036843910061e-07
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,4.3417234973176465e-07
Xenon-133m,air,kilo Becquerel,4.128076444677236e-07
"Solids, Inorganic",water,kilogram,4.107344763094026e-07
Xenon-137,air,kilo Becquerel,3.994463433650601e-07
sulfur,Emissions / Emissions to soil,kilogram,3.941088478117554e-07
To Forest,Land use / Land transformation,square meter,3.8841205154112255e-07
Chloride,Emissions / Emissions to soil,kilogram,3.8152331313150593e-07
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,3.808059382070506e-07
Total Organic Carbon,water,kilogram,3.6645562942200424e-07
Barium(2+),Emissions / Emissions to water,kilogram,3.6478029576330445e-07
Iodide Ion,Emissions / Emissions to water,kilogram,3.6150017110024173e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.492648827464307e-07
Barium(2+),Emissions / Emissions to soil,kilogram,3.2842402948353196e-07
Particles (PM10),Emissions / Emissions to air,kilogram,3.269178557339336e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,3.192141558675496e-07
copper,Emissions / Emissions to water,kilogram,3.168303877668641e-07
Molybdenum,Resources / Resources from ground,kilogram,3.0355634009074546e-07
"From Forest, Natural",Land use / Land transformation,square meter,2.968730033119087e-07
