flow,compartment,unit,amount
zinc,Emissions / Emissions to water,kilogram,1.0066010728957334e-05
Sodium,water,kilogram,9.751363421806451e-06
Radium-228,water,kilo Becquerel,9.445509618283278e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,9.361575034078406e-06
Nitrate,Emissions / Emissions to water,kilogram,9.210446383065319e-06
Sodium,water,kilogram,8.900925775833045e-06
Radon-220,air,kilo Becquerel,7.685954363809356e-06
Dolomite,soil,kilogram,7.4621218101693695e-06
boron,Emissions / Emissions to water,kilogram,7.443644378677393e-06
Lead-210,water,kilo Becquerel,6.696812259152925e-06
Radium-228,water,kilo Becquerel,6.5289485496616785e-06
chloride,Emissions / Emissions to water,kilogram,6.462279408148545e-06
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,6.441089912926281e-06
Methane (fossil),Emissions / Emissions to air,kilogram,6.276163502449416e-06
"Solids, Inorganic",water,kilogram,5.611951928773146e-06
Fluorspar,soil,kilogram,5.3335201317219526e-06
Basalt,soil,kilogram,5.070528971712708e-06
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,4.931304311916927e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,4.875295968854465e-06
Barite,resources / in ground,kilogram,4.781649051376883e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,4.774147038100863e-06
Uranium alpha,emissions to water / river,kilo Becquerel,4.7434759404834245e-06
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,4.607295780444832e-06
Chemical Oxygen Demand,water,kilogram,4.532364785248973e-06
Calcium,Emissions / Emissions to water,kilogram,4.439891033465969e-06
Methane (fossil),Emissions / Emissions to air,kilogram,4.433081408515701e-06
Iodine-131,Emissions / Emissions to air,kilo Becquerel,4.311227184077035e-06
Nitrate,Emissions / Emissions to water,kilogram,4.2890000561141175e-06
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,4.202416040030905e-06
"To Forest, Intensive",Land use / Land transformation,square meter,4.130779308704241e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.115821430008154e-06
"From Forest, Intensive",Land use / Land transformation,square meter,4.115302830392084e-06
Calcium,Emissions / Emissions to water,kilogram,4.075209533704037e-06
Xenon-138,air,kilo Becquerel,3.933884517389351e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,3.9232115433435125e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.920534412626831e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.920534412626739e-06
Polonium-210,water,kilo Becquerel,3.5980014765416055e-06
strontium,Emissions / Emissions to water,kilogram,3.5395196302110328e-06
Xenon-131m,air,kilo Becquerel,3.4746724004391605e-06
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,3.256138387601437e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,3.229166802883131e-06
Nickel,Resources / Resources from ground,kilogram,3.2261542886100292e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,3.163673176775467e-06
Inland Water Bodies,land use,square meter-year,3.1583191029188757e-06
Biological Oxygen Demand,water,kilogram,3.1512075499882577e-06
Chromium,Resources / Resources from ground,kilogram,3.061516139790953e-06
Water,air,cubic meter,3.0327092335531686e-06
Manganese,Resources / Resources from ground,kilogram,2.9187592936808217e-06
Hypochlorite,water,kilogram,2.830289356630349e-06
Magnesite,soil,kilogram,2.758236761797788e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,2.755622273438839e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.7549153967074013e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,2.665428452416439e-06
Polonium-210,Emissions / Emissions to air,kilo Becquerel,2.6580891845747667e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,2.6296486380383365e-06
From Unspecified,Land use / Land transformation,square meter,2.629513497704352e-06
Tetramethyl Ammonium Hydroxide,Emissions / Emissions to air,kilogram,2.5805820091030777e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.57497708036796e-06
Calcium,Emissions / Emissions to water,kilogram,2.526806079181078e-06
Radium-224,water,kilo Becquerel,2.3817959272697838e-06
Particles (> PM10),air,kilogram,2.3421014565449172e-06
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,2.3408402398441133e-06
Total Organic Carbon,water,kilogram,2.2777601144740225e-06
Xenon-133,Emissions / Emissions to air,kilo Becquerel,2.2543933231785664e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.2043918526016514e-06
copper,Emissions / Emissions to water,kilogram,1.9879283829361703e-06
Krypton-85m,air,kilo Becquerel,1.9867405844839597e-06
Thorium-228,water,kilo Becquerel,1.917765830470954e-06
Sulfate Ion,water,kilogram,1.8969242401170238e-06
Ammonium,Emissions / Emissions to water,kilogram,1.8811387079418824e-06
Construction Site,Land use / Land occupation,square meter-year,1.8465056273616428e-06
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,1.8299680853187067e-06
Magnesium,Emissions / Emissions to water,kilogram,1.8162808299573502e-06
To Mineral Extraction Site,Land use / Land transformation,square meter,1.8104405733754073e-06
"DOC, Dissolved Organic Carbon",water,kilogram,1.8022712666095533e-06
Xenon-135,air,kilo Becquerel,1.7450262363705163e-06
From Mineral Extraction Site,Land use / Land transformation,square meter,1.6841055406822171e-06
Radium-224,water,kilo Becquerel,1.6465376496951008e-06
From Pasture/meadow,Land use / Land transformation,square meter,1.6423364376240152e-06
"Suspended Solids, Unspecified",water,kilogram,1.5430801469698416e-06
Chloride,Emissions / Emissions to water,kilogram,1.4826802550283202e-06
Lead-210,Emissions / Emissions to air,kilo Becquerel,1.4620702479583463e-06
To Unspecified,Land use / Land transformation,square meter,1.4416152019179608e-06
Aluminium,Emissions / Emissions to air,kilogram,1.3860056171434106e-06
Methane (fossil),Emissions / Emissions to air,kilogram,1.3730431565434486e-06
Carbon,soil,kilogram,1.3522502194315907e-06
Cobalt,Resources / Resources from ground,kilogram,1.351735389221661e-06
Colemanite,soil,kilogram,1.342994228929513e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,1.3314165539308537e-06
Phosphorus,Resources / Resources from ground,kilogram,1.3190123170973708e-06
Thorium-228,water,kilo Becquerel,1.306980148808738e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.21421909826507e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,1.192672932384726e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.1444307066371094e-06
Uranium alpha,emissions to water / lake,kilo Becquerel,1.1344727031138381e-06
Zinc,Resources / Resources from ground,kilogram,1.0853965446648757e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.0626488791930623e-06
Iron,Emissions / Emissions to water,kilogram,1.047297141109148e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,1.0411457879409512e-06
"Metamorphous rock, graphite containing",resources / in ground,kilogram,1.0204309091928971e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,9.494566156060567e-07
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,9.302601307641904e-07
Potassium chloride,resources / in ground,kilogram,8.135047255400098e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,7.884603300334422e-07
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,7.799555011767771e-07
Particles (PM10),Emissions / Emissions to air,kilogram,7.632820131922666e-07
From Forest,Land use / Land transformation,square meter,7.597179517521421e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,7.521629183203765e-07
Boron,Emissions / Emissions to water,kilogram,7.180310765423122e-07
Radon-220,air,kilo Becquerel,6.923865758159084e-07
Potassium,water,kilogram,6.864915564313441e-07
Krypton-88,air,kilo Becquerel,6.857712700438523e-07
Krypton-87,air,kilo Becquerel,6.693993889152188e-07
To Forest,Land use / Land transformation,square meter,6.622764329307389e-07
Sodium,water,kilogram,6.593827531166878e-07
To Industrial Area,Land use / Land transformation,square meter,6.521257813561883e-07
"Organic carbon, placed in landfill",resources / in ground,kilogram,6.490870633312932e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,6.400688117511639e-07
Potassium-40,water,kilo Becquerel,6.278421900266362e-07
Ammonia,Emissions / Emissions to air,kilogram,6.063191517459202e-07
titanium,Emissions / Emissions to water,kilogram,6.00800787583277e-07
Total Organic Carbon,water,kilogram,5.984028355966046e-07
Tin atom,Resources / Resources from ground,kilogram,5.896563080526423e-07
Silicon,Emissions / Emissions to water,kilogram,5.70607345175397e-07
cobalt,Emissions / Emissions to water,kilogram,5.378254818799505e-07
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,5.376134677675992e-07
Biological Oxygen Demand,water,kilogram,5.343789994258989e-07
Hydrogen,air,kilogram,5.087323200694709e-07
nickel,Emissions / Emissions to water,kilogram,5.031441944763455e-07
