flow,compartment,unit,amount
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0008811188305156623
Argon-41,air,kilo Becquerel,0.0008699906694024836
Waste Heat,water,megajoule,0.0007983814979263064
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0007949348674920119
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0007834610118268139
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0007519408745324277
Sulfate Ion,water,kilogram,0.0007431212704496491
Thorium-228,water,kilo Becquerel,0.0007326091697600503
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0007249214721139778
Waste water,emissions to water / river,kilogram,0.0007230726972248885
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.0006977980523154537
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0006833350897093289
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.0006630019785294265
Xenon-138,air,kilo Becquerel,0.0006378603729411331
Aluminium,Resources / Resources from ground,kilogram,0.0006133171466804665
Magnesite,soil,kilogram,0.0005630183251991877
Construction Site,Land use / Land occupation,square meter-year,0.0005456892112837147
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0005375599279370616
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0005135960452230023
Phosphate,Emissions / Emissions to water,kilogram,0.000486397493434018
iron,Emissions / Emissions to water,kilogram,0.0004621021738442538
chloride,Emissions / Emissions to water,kilogram,0.0004614069158536946
Shrub Land,Land use / Land occupation,square meter-year,0.0004502149096903298
Air,air,kilogram,0.0004330959558648219
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00042368106749430943
Silicon,Emissions / Emissions to water,kilogram,0.0004222714786351534
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0004195090189334453
Xenon-131m,air,kilo Becquerel,0.0003983866959113931
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.00038813539119752295
From Pasture/meadow,Land use / Land transformation,square meter,0.00036647837866665315
Silicon,Emissions / Emissions to air,kilogram,0.00034937866051089556
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.00034231317174794476
Total Organic Carbon,water,kilogram,0.0003291703947762596
Uranium alpha,emissions to water / river,kilo Becquerel,0.0003249634624422407
Copper,Resources / Resources from ground,kilogram,0.00032470176727933864
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.0003191351288558761
Chromium,Resources / Resources from ground,kilogram,0.00030399227844456325
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0003036215631659862
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0003032811927323667
Used Air,air,kilogram,0.0002700441671471062
Krypton-85m,air,kilo Becquerel,0.0002666436964566766
Waste water,emissions to water / ocean,kilogram,0.0002663186965854966
Methane (fossil),Emissions / Emissions to air,kilogram,0.0002583255356984016
Inland Water Bodies,land use,square meter-year,0.0002558628610099495
Fluorspar,soil,kilogram,0.0002501572281502056
Total Organic Carbon,water,kilogram,0.00024119613186086093
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.000228165122985453
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.00020444593792249898
"To Forest, Intensive",Land use / Land transformation,square meter,0.00020061227662057985
"From Forest, Intensive",Land use / Land transformation,square meter,0.00019837737040451084
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0001905917907381044
Calcium,Emissions / Emissions to air,kilogram,0.00019054193674497495
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.00018682829056895116
Polonium-210,water,kilo Becquerel,0.00018050031969025379
Nickel,Resources / Resources from ground,kilogram,0.0001781599491433634
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.0001742720731909097
"Suspended Solids, Unspecified",water,kilogram,0.000173717886815304
"Solids, Inorganic",water,kilogram,0.00016633102544865832
Biological Oxygen Demand,water,kilogram,0.00016203562408001663
"Clay, bentonite",resources / in ground,kilogram,0.0001610350337349524
To Dump Site,Land use / Land transformation,square meter,0.00014962906701978385
Water,air,cubic meter,0.0001486490846044222
Hypochlorite,water,kilogram,0.0001478061943841076
"Solids, Inorganic",water,kilogram,0.0001473592747870331
Magnesium,Emissions / Emissions to water,kilogram,0.0001436029083492432
Particles (> PM10),air,kilogram,0.00014258153421925338
To Forest,Land use / Land transformation,square meter,0.00014186219949927098
Sulfate Ion,water,kilogram,0.0001415347652798441
From Forest,Land use / Land transformation,square meter,0.00013919574958231402
Chlorate ion,Emissions / Emissions to water,kilogram,0.00013867872217055785
manganese,Emissions / Emissions to water,kilogram,0.0001366111293993706
Titanium,Emissions / Emissions to air,kilogram,0.0001350155987041075
Nitrate,Emissions / Emissions to water,kilogram,0.00013262928483190976
Magnesium,Emissions / Emissions to water,kilogram,0.00012783684437426575
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.0001246984824129482
Basalt,soil,kilogram,0.00012327522061922374
Uranium alpha,emissions to water / lake,kilo Becquerel,0.00011931393260373484
Chemical Oxygen Demand,water,kilogram,0.00011772705653401666
Potassium,water,kilogram,9.902996095479672e-05
From Shrub Land,Land use / Land transformation,square meter,9.7723176138558e-05
Titanium,Resources / Resources from ground,kilogram,9.410641868058117e-05
Manganese,Resources / Resources from ground,kilogram,9.299896094958521e-05
To Mineral Extraction Site,Land use / Land transformation,square meter,9.136004736107029e-05
From Dump Site,Land use / Land transformation,square meter,9.132790137318936e-05
To Shrub Land,Land use / Land transformation,square meter,8.98999751569526e-05
Krypton-88,air,kilo Becquerel,8.743789457475967e-05
Chemical Oxygen Demand,water,kilogram,8.695272999808549e-05
Potassium,water,kilogram,8.601299842813074e-05
Zinc,Resources / Resources from ground,kilogram,8.281075442790782e-05
Xenon-137,air,kilo Becquerel,8.127182343948884e-05
Phosphate,Emissions / Emissions to water,kilogram,7.999124241466691e-05
Biological Oxygen Demand,water,kilogram,7.959704847803889e-05
Water,Emissions / Emissions to water,cubic meter,7.785532563659631e-05
Krypton-87,air,kilo Becquerel,7.334824134331922e-05
Radon-220,air,kilo Becquerel,7.22373392612493e-05
Sodium sulfate,resources / in ground,kilogram,7.056413267878943e-05
Potassium chloride,resources / in ground,kilogram,7.005532617062858e-05
Iron,Emissions / Emissions to water,kilogram,6.885525267447927e-05
Titanium,Emissions / Emissions to water,kilogram,6.685362863131144e-05
Calcium,Emissions / Emissions to soil,kilogram,6.308931505616636e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,6.307968287701878e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,6.037109118652201e-05
"To Traffic Area, Road Network",Land use / Land transformation,square meter,5.9874129259627236e-05
"DOC, Dissolved Organic Carbon",water,kilogram,5.914706637976214e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,5.859442798019881e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,5.7828366527759325e-05
From Seabed,land use,square meter,5.66511720198858e-05
Phosphorus,Resources / Resources from ground,kilogram,5.6550132729017324e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,5.6350134901338656e-05
Chloride,Emissions / Emissions to soil,kilogram,5.6108071991102965e-05
fluoride,Emissions / Emissions to water,kilogram,5.5992531280020725e-05
