flow,compartment,unit,amount
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,1.452112678364933e-05
magnesium,Emissions / Emissions to water,kilogram,1.385365840495117e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.3389411109853107e-05
Chromium,Resources / Resources from ground,kilogram,1.2997696438690713e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,1.299537940641092e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,1.2267431970601671e-05
"Suspended Solids, Unspecified",water,kilogram,1.1516898004256198e-05
Magnesium,Emissions / Emissions to water,kilogram,1.1269878538600697e-05
Dump Site,Land use / Land occupation,square meter-year,1.0667282197360922e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,9.502100713986457e-06
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,8.611150062192725e-06
Total Organic Carbon,water,kilogram,8.440850016103013e-06
Manganese,Resources / Resources from ground,kilogram,8.417408795570632e-06
Xenon-135m,air,kilo Becquerel,7.880144063664995e-06
Potassium,water,kilogram,7.792321250370616e-06
Nickel,Resources / Resources from ground,kilogram,7.678152754435408e-06
Water Bodies,land use,square meter-year,7.422061070558366e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,6.910513123033003e-06
river water,Resources / Resources from water,cubic meter,6.085649269457744e-06
Aluminium,Resources / Resources from ground,kilogram,5.650499119806003e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.504466124885597e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.504466124885578e-06
aluminium,Emissions / Emissions to water,kilogram,5.482400694638798e-06
Aluminium,Emissions / Emissions to water,kilogram,5.46863725990844e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,5.372564145555091e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,5.315667051107635e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,5.11181344860704e-06
