flow,compartment,unit,amount
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,607.8528032365539
Aluminium,Resources / Resources from ground,kilogram,598.3664888861205
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,590.7829558402302
Argon-41,air,kilo Becquerel,590.4394714978756
Thorium-230,water,kilo Becquerel,589.18099118232
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,587.3134033424471
Calcium,Emissions / Emissions to water,kilogram,584.8335240543146
Nitrogen Oxides,Emissions / Emissions to air,kilogram,582.4924825312941
Waste water,emissions to water / river,kilogram,576.6634750222124
boron,Emissions / Emissions to water,kilogram,546.8952119729508
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,540.7756350565733
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,520.1344249979163
Inland Water Bodies,land use,square meter-year,471.6148417317247
Particles (PM2.5),Emissions / Emissions to air,kilogram,471.0697465857442
Calcium,Emissions / Emissions to water,kilogram,455.5185647485282
Radium-228,water,kilo Becquerel,424.60492294009975
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,418.9009794398311
Lead-210,water,kilo Becquerel,407.6935199143503
Cesium-137,Emissions / Emissions to water,kilo Becquerel,396.77126130357834
Sodium,water,kilogram,389.3636667552482
Silicon,Emissions / Emissions to water,kilogram,387.63994387770214
Methane (fossil),Emissions / Emissions to air,kilogram,387.1594939810746
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,357.18303836420694
chloride,Emissions / Emissions to water,kilogram,352.79240252433846
Air,air,kilogram,345.4018107523677
"Clay, bentonite",resources / in ground,kilogram,329.97550778400455
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,313.91120251660686
Nitrogen Oxides,Emissions / Emissions to air,kilogram,313.89250890758615
Mineral Extraction Site,Land use / Land occupation,square meter-year,299.2476832104974
Barite,resources / in ground,kilogram,296.3008552498328
Sulfur Dioxide,Emissions / Emissions to air,kilogram,293.0771077754791
Nitrate,Emissions / Emissions to water,kilogram,279.83460582303314
Molybdenum,Resources / Resources from ground,kilogram,268.21000725486687
"To Arable, Non-irrigated",Land use / Land transformation,square meter,265.4890132955408
"From Arable, Non-irrigated",Land use / Land transformation,square meter,251.5272500315842
strontium,Emissions / Emissions to water,kilogram,249.38652790814973
Used Air,air,kilogram,215.365077998646
Waste water,emissions to water / ocean,kilogram,212.3939482513938
Ground Water,Resources / Resources from water,cubic meter,209.1762308311282
