flow,compartment,unit,amount
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0028521339553055545
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.002817330276396436
Phosphorus,Resources / Resources from ground,kilogram,0.002737125063215924
Nitrate,Emissions / Emissions to water,kilogram,0.0025809636639005248
Radium-228,water,kilo Becquerel,0.002563631017277362
Lead-210,water,kilo Becquerel,0.002447679538315038
Potassium,"emissions to water / groundwater, long-term",kilogram,0.0024056858362879853
Thorium-230,water,kilo Becquerel,0.0023540781845134144
chloride,Emissions / Emissions to water,kilogram,0.0022548069308709604
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.002248485902383141
Methane (fossil),Emissions / Emissions to air,kilogram,0.00224578084365798
Argon-41,air,kilo Becquerel,0.002229821105564994
Dolomite,soil,kilogram,0.002155758844564646
Fluorspar,soil,kilogram,0.002110800053522667
"Solids, Inorganic",water,kilogram,0.0020830016448496786
Polonium-210,water,kilo Becquerel,0.0019386220405710438
Potassium chloride,resources / in ground,kilogram,0.0018544621760245208
Air,air,kilogram,0.0018464259622803757
Barite,resources / in ground,kilogram,0.0017794403162006952
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0016130313581814654
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0016130313581814604
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.001516434760342412
"Wood, soft, standing",resources / biotic,cubic meter,0.001511758402123961
"Wood, hard, standing",resources / biotic,cubic meter,0.001419373263781818
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0014139654537742392
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0013917203387282342
"Suspended Solids, Unspecified",water,kilogram,0.0013159002275650188
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0012722198301477184
Biological Oxygen Demand,water,kilogram,0.001256467775439654
Calcium,Emissions / Emissions to water,kilogram,0.0011828498993949998
Sulfate Ion,water,kilogram,0.0011686687822527293
aluminium,Emissions / Emissions to water,kilogram,0.0011685639471600527
Sulfate Ion,water,kilogram,0.0011669918635457284
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0011633612866016377
Used Air,air,kilogram,0.0011512842695266972
Waste water,emissions to water / ocean,kilogram,0.0011354014022925034
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.0011234698438192822
Sulfate Ion,water,kilogram,0.0010725270632956166
Aluminium,Resources / Resources from ground,kilogram,0.0010690604682676047
Methane (fossil),Emissions / Emissions to air,kilogram,0.0010392279849207743
Radium-224,water,kilo Becquerel,0.0010204443418223828
Magnesite,soil,kilogram,0.001016959206698773
Hydrogen,air,kilogram,0.001012121045669714
Hypochlorite,water,kilogram,0.0010032902110945748
Xenon-138,air,kilo Becquerel,0.0009297938573660142
Phosphate,Emissions / Emissions to water,kilogram,0.0008755048917620227
Talc,resources / in ground,kilogram,0.0008663971733656855
Thorium-228,water,kilo Becquerel,0.0008258274130690796
iron,Emissions / Emissions to water,kilogram,0.0008032030883332072
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0007458598264542698
Calcium,Emissions / Emissions to water,kilogram,0.0007150582688221807
Methane (biogenic),Emissions / Emissions to air,kilogram,0.0007123864533510299
Uranium alpha,emissions to water / river,kilo Becquerel,0.0007017537326859136
Titanium,Resources / Resources from ground,kilogram,0.000683518835532879
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0006759846624330643
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0006649216475957849
Sodium sulfate,resources / in ground,kilogram,0.0006637421836778978
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.0006537121740666335
Xenon-131m,air,kilo Becquerel,0.0006496167034550526
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0006489370528398427
Radium-224,water,kilo Becquerel,0.0006468622206026124
Dump Site,Land use / Land occupation,square meter-year,0.0006466852822294214
Chloride,Emissions / Emissions to soil,kilogram,0.0005686417348868463
Ground Water,Resources / Resources from water,cubic meter,0.0005679943241491511
Waste Heat,water,megajoule,0.0005672046466310958
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.0005658628923664466
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.0005506266969077076
manganese,Emissions / Emissions to water,kilogram,0.0005359252256120205
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0005254953944747127
Construction Site,Land use / Land occupation,square meter-year,0.0005246416690402596
Thorium-228,water,kilo Becquerel,0.0005156578097221497
Chromium,Resources / Resources from ground,kilogram,0.0005150355878648019
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.0005126048816734167
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.0005054682257518766
Sodium,water,kilogram,0.00040365350221039346
Inland Water Bodies,land use,square meter-year,0.0004015931696170063
Krypton-85m,air,kilo Becquerel,0.00040153126047279514
Copper,Resources / Resources from ground,kilogram,0.00039984348794929386
Methane (fossil),Emissions / Emissions to air,kilogram,0.0003967495692935849
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.00038929474469941204
Basalt,soil,kilogram,0.0003442868987574993
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,0.0003353962751427162
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00032330400080458254
Water,air,cubic meter,0.0003154971882657001
Nickel,Resources / Resources from ground,kilogram,0.00029920932129078926
To Arable,Land use / Land transformation,square meter,0.000297491556073989
Nitrate,Emissions / Emissions to water,kilogram,0.00029522229687520957
"Water, salt, sole",resources / in water,cubic meter,0.00029348093410593116
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,0.0002793845609412407
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.000272298363330382
"Solids, Inorganic",water,kilogram,0.00026331747880793606
Total Organic Carbon,water,kilogram,0.00026129013759790026
