flow,compartment,unit,amount
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,39003.76949718727
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,35687.3535030747
"Heat, waste","emissions to water / groundwater, long-term",megajoule,33519.4492334944
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,32631.62022592891
Phosphate,Emissions / Emissions to water,kilogram,31215.63313416878
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,30493.22120347299
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,29568.317031768664
Sulfur Dioxide,Emissions / Emissions to air,kilogram,29347.090509195288
fluoride,Emissions / Emissions to water,kilogram,27705.902324194794
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,27680.417736806594
Krypton-85,Emissions / Emissions to air,kilo Becquerel,26764.944516611762
Lead-210,water,kilo Becquerel,25736.604347682824
Radium-228,water,kilo Becquerel,25492.135548856262
"To Forest, Intensive",Land use / Land transformation,square meter,23861.38665853877
"From Forest, Intensive",Land use / Land transformation,square meter,23770.058074481232
manganese,Emissions / Emissions to water,kilogram,23264.960199341698
Calcium,Emissions / Emissions to water,kilogram,22492.083363317248
Sodium,water,kilogram,22272.736067999707
Water Bodies,land use,square meter-year,21286.77718789731
Methane (fossil),Emissions / Emissions to air,kilogram,19603.795304351082
Thorium-230,water,kilo Becquerel,19494.864860186175
Ground Water,Resources / Resources from water,cubic meter,19444.62433901344
Ammonia,Emissions / Emissions to air,kilogram,18919.09778858552
Chromium,Resources / Resources from ground,kilogram,17622.972634250244
Xenon-138,air,kilo Becquerel,17567.694698121664
Radium-228,water,kilo Becquerel,16860.716684495263
Lead-210,water,kilo Becquerel,16245.182024495503
Nitrogen Oxides,Emissions / Emissions to air,kilogram,16190.191418647351
Phosphate,Emissions / Emissions to water,kilogram,16007.092691356123
Xenon-137,air,kilo Becquerel,16002.23881917347
Mineral Extraction Site,Land use / Land occupation,square meter-year,14383.585956903698
"To Arable, Non-irrigated",Land use / Land transformation,square meter,13432.567441778378
From Pasture/meadow,Land use / Land transformation,square meter,13414.401553817765
Cesium-137,Emissions / Emissions to water,kilo Becquerel,13370.170227859137
