flow,compartment,unit,amount
Thorium-232,emissions to water / river,kilo Becquerel,58.11086133115401
Iodine-131,Emissions / Emissions to water,kilo Becquerel,56.1683129344229
Magnesium,Emissions / Emissions to soil,kilogram,56.019012254745995
Talc,resources / in ground,kilogram,56.01866994469132
Benzene,Emissions / Emissions to water,kilogram,55.82377598315485
iron,Emissions / Emissions to air,kilogram,55.29570536126555
Artificial Areas,Land use / Land occupation,square meter-year,55.27589724590919
Uranium-238,Emissions / Emissions to air,kilo Becquerel,55.26536421894134
Barium(2+),Emissions / Emissions to water,kilogram,52.95830258636595
Manganese,Emissions / Emissions to water,kilogram,52.67461588290261
Aluminium,Emissions / Emissions to air,kilogram,50.849820550728964
Acetic Acid,Emissions / Emissions to air,kilogram,50.41243354890086
Hexane,Emissions / Emissions to air,kilogram,50.10395965645746
"Hydrocarbons, Chlorinated",air,kilogram,49.32747497114186
Iron,Emissions / Emissions to air,kilogram,47.79451821323096
hydrogen sulfide,Emissions / Emissions to water,kilogram,47.6428786515196
Sulfate Ion,air,kilogram,46.8207329406708
Cyanide,Emissions / Emissions to water,kilogram,46.23251172270016
beryllium,Emissions / Emissions to water,kilogram,45.06550717715059
Phenol,Emissions / Emissions to air,kilogram,44.87693995787848
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,44.34515236723206
Sulfide ion,water,kilogram,43.82654847702675
Hexane,Emissions / Emissions to air,kilogram,43.5697858280506
sulfur,Emissions / Emissions to soil,kilogram,42.00975318905563
Arsenic,Emissions / Emissions to air,kilogram,41.599675025620265
Propane,Emissions / Emissions to air,kilogram,41.081088442127694
Silicon,Emissions / Emissions to air,kilogram,40.62676253833164
Particles (PM2.5),Emissions / Emissions to air,kilogram,40.56870863008375
Ethylene,Emissions / Emissions to air,kilogram,40.38693593462159
Benzene,Emissions / Emissions to air,kilogram,38.238922107074984
Methanol,Emissions / Emissions to air,kilogram,36.20509112922476
Colemanite,soil,kilogram,35.773632194465684
Ozone,air,kilogram,35.12868279245396
Barium(2+),Emissions / Emissions to soil,kilogram,35.00810766249602
Calcium,Emissions / Emissions to air,kilogram,34.54741599097792
Propylene,Emissions / Emissions to water,kilogram,34.33446154523355
thallium,Emissions / Emissions to water,kilogram,32.66687453628315
Thorium-230,Emissions / Emissions to air,kilo Becquerel,32.60902949156084
Cumene,Emissions / Emissions to air,kilogram,31.176182281223063
Antimony-125,Emissions / Emissions to water,kilo Becquerel,30.607305417513054
Silicon,Emissions / Emissions to soil,kilogram,30.278296252389787
Antimony-124,Emissions / Emissions to water,kilo Becquerel,30.1430251988979
Iodide Ion,Emissions / Emissions to water,kilogram,29.68013075039554
Cesium-134,Emissions / Emissions to water,kilo Becquerel,28.986959715769725
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,28.276085840422542
"From Forest, Extensive",Land use / Land transformation,square meter,28.15197598210872
Sand,soil,kilogram,27.651827571756293
Sulfur,Resources / Resources from ground,kilogram,27.471415740497168
