flow,compartment,unit,amount
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.00014493020762614738
Sodium,"emissions to water / groundwater, long-term",kilogram,0.0001335247584722528
Xenon-135m,air,kilo Becquerel,0.00012869636386610617
Chemical Oxygen Demand,water,kilogram,0.00012621953976096938
Sodium,water,kilogram,0.00011861791347448151
magnesium,Emissions / Emissions to water,kilogram,0.00011645199142258353
Water Bodies,land use,square meter-year,0.00011636699907815052
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00011415771249965811
Sulfate Ion,water,kilogram,0.0001141221031859194
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.00011374949827290983
"DOC, Dissolved Organic Carbon",water,kilogram,0.00010327655526410135
river water,Resources / Resources from water,cubic meter,9.078300348143491e-05
Strontium,Emissions / Emissions to water,kilogram,8.696555613718683e-05
Chromium,Resources / Resources from ground,kilogram,8.534520821423421e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,8.530945318785704e-05
Construction Site,Land use / Land occupation,square meter-year,8.51521239644647e-05
Thorium-230,water,kilo Becquerel,8.496620412522924e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,8.243177223665636e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,8.072019880889887e-05
Argon-41,air,kilo Becquerel,8.042343814012458e-05
Fluorspar,soil,kilogram,7.856762995154946e-05
chloride,Emissions / Emissions to water,kilogram,7.843172589697169e-05
Water,Emissions / Emissions to water,cubic meter,7.624814924565156e-05
"Clay, bentonite",resources / in ground,kilogram,7.477465137665655e-05
Polonium-210,water,kilo Becquerel,7.460528719688443e-05
Carbonate Ion,water,kilogram,7.101155275182425e-05
Potassium,"emissions to water / groundwater, long-term",kilogram,6.816294212635691e-05
Manganese,Resources / Resources from ground,kilogram,5.488597447356074e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,5.3598262256426805e-05
Dump Site,Land use / Land occupation,square meter-year,5.299393000837394e-05
Nickel,Resources / Resources from ground,kilogram,5.077657692284087e-05
Potassium chloride,resources / in ground,kilogram,4.6942845836779366e-05
"Carboxylic Acids, Unspecified",water,kilogram,4.676922394148364e-05
Sulfate Ion,water,kilogram,4.6425275329787e-05
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,4.6397123610783965e-05
Calcium,Emissions / Emissions to water,kilogram,4.4778409690994085e-05
To Arable,Land use / Land transformation,square meter,4.342440597208832e-05
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,4.265850049518172e-05
Ammonium,Emissions / Emissions to water,kilogram,4.137530226764513e-05
Sulfate Ion,water,kilogram,4.123839392728266e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.964687301119252e-05
Radium-224,water,kilo Becquerel,3.8140763546209126e-05
aluminium,Emissions / Emissions to water,kilogram,3.706232656433559e-05
Waste water,emissions to water / river,kilogram,3.49832114019506e-05
"Suspended Solids, Unspecified",water,kilogram,3.4949677395546e-05
Methane (fossil),Emissions / Emissions to air,kilogram,3.374566735321895e-05
Barium(2+),Emissions / Emissions to water,kilogram,3.283655309762272e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.216477307378139e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.216477307378121e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,3.193920591274912e-05
iron,Emissions / Emissions to water,kilogram,3.181204217243634e-05
Calcium,Emissions / Emissions to soil,kilogram,3.144716439414527e-05
"Oils, Unspecified",Emissions / Emissions to water,kilogram,3.094852705521097e-05
Thorium-228,water,kilo Becquerel,3.088262474971955e-05
Phosphate,Emissions / Emissions to water,kilogram,3.0053073093357208e-05
