flow,compartment,unit,amount
Krypton-85,Emissions / Emissions to air,kilo Becquerel,5.878770246280637e-06
Waste water,emissions to water / river,kilogram,5.8526488677677846e-06
Chloride,Emissions / Emissions to water,kilogram,5.8255677974320145e-06
"Heat, waste","emissions to water / groundwater, long-term",megajoule,5.286771241902845e-06
Sodium,water,kilogram,4.93727245459461e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,4.937108071060359e-06
Phosphate,Emissions / Emissions to water,kilogram,4.878993977530437e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.655989302047043e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,4.5149286570160376e-06
Waste Heat,water,megajoule,4.397453439977129e-06
Peat,Resources / Resources from ground,megajoule,4.3123751948525836e-06
Radium-228,water,kilo Becquerel,4.046415900502816e-06
Lead-210,water,kilo Becquerel,3.952741766513804e-06
Xenon-131m,air,kilo Becquerel,3.866576365320126e-06
Air,air,kilogram,3.5055376388229214e-06
Sodium,water,kilogram,3.3422221454950257e-06
Krypton-85m,air,kilo Becquerel,3.048610249892635e-06
Methane (fossil),Emissions / Emissions to air,kilogram,3.0312951272175535e-06
Radium-228,water,kilo Becquerel,2.8216830683468985e-06
Particles (> PM10),air,kilogram,2.8210391141121857e-06
Lead-210,water,kilo Becquerel,2.6968721963202648e-06
Sodium chloride,resources / in ground,kilogram,2.614150265716567e-06
Ground Water,Resources / Resources from water,cubic meter,2.598349772103192e-06
Manganese,Resources / Resources from ground,kilogram,2.5662537099048887e-06
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,2.427426034265273e-06
Chemical Oxygen Demand,water,kilogram,2.381455132039368e-06
Inland Water Bodies,land use,square meter-year,2.345331543129357e-06
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,2.2311813236263555e-06
Used Air,air,kilogram,2.1857742591672634e-06
Particles (PM10),Emissions / Emissions to air,kilogram,2.15585006693391e-06
Waste water,emissions to water / ocean,kilogram,2.155619793166834e-06
From Pasture/meadow,Land use / Land transformation,square meter,2.1117650058929534e-06
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.0727042199217483e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.955145867821527e-06
Barite,resources / in ground,kilogram,1.938142524977486e-06
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,1.892993346777308e-06
Particles (> PM10),air,kilogram,1.8694276642115465e-06
Argon-41,air,kilo Becquerel,1.8576485328984803e-06
Uranium alpha,emissions to water / river,kilo Becquerel,1.7678092956178633e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.7273629747331779e-06
Methane (fossil),Emissions / Emissions to air,kilogram,1.6516842465955089e-06
zinc,Emissions / Emissions to water,kilogram,1.5939244913246854e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,1.5405740991500994e-06
To Dump Site,Land use / Land transformation,square meter,1.5279493093813233e-06
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.4664187071547932e-06
From Dump Site,Land use / Land transformation,square meter,1.4551735649423333e-06
To Pasture/meadow,Land use / Land transformation,square meter,1.4316797095349642e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,1.4287395910536948e-06
manganese,Emissions / Emissions to water,kilogram,1.408881299676688e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,1.3989339219469504e-06
barium,Emissions / Emissions to water,kilogram,1.349406987902272e-06
Particles (PM10),Emissions / Emissions to air,kilogram,1.2869674456319765e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.2158385486522388e-06
Uranium alpha,emissions to water / lake,kilo Becquerel,1.1689959427149374e-06
Xenon-137,air,kilo Becquerel,1.0642895457905392e-06
To Mineral Extraction Site,Land use / Land transformation,square meter,1.0246703960423422e-06
Radium-224,water,kilo Becquerel,1.0203113021336397e-06
Phosphate,Emissions / Emissions to water,kilogram,1.0169377046074598e-06
Waste Heat,water,megajoule,9.513588167164184e-07
Krypton-88,air,kilo Becquerel,9.48110770998339e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,9.274290590395899e-07
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,9.071624549137172e-07
"Suspended Solids, Unspecified",water,kilogram,8.945045742189048e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,8.767429431596285e-07
Silicon,Emissions / Emissions to water,kilogram,8.63837646787324e-07
Thorium-228,water,kilo Becquerel,8.10286260681321e-07
nickel,Emissions / Emissions to water,kilogram,7.619306626912505e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,7.601285671530065e-07
Calcium,Emissions / Emissions to water,kilogram,7.390806622056233e-07
Nitrate,Emissions / Emissions to water,kilogram,7.345746200242246e-07
Krypton-87,air,kilo Becquerel,7.312667961454193e-07
Radium-224,water,kilo Becquerel,7.115112858821687e-07
"To Forest, Intensive",Land use / Land transformation,square meter,7.073961116805755e-07
"From Forest, Intensive",Land use / Land transformation,square meter,7.014546481814129e-07
"Solids, Inorganic",water,kilogram,7.007034066583298e-07
Total Organic Carbon,water,kilogram,6.75096977763204e-07
lake water,Resources / Resources from water,cubic meter,6.517182618768287e-07
Nitrogen Oxides,Emissions / Emissions to air,kilogram,6.444353552484332e-07
Basalt,soil,kilogram,6.442635461268407e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,6.022848797391981e-07
Hypochlorite,water,kilogram,5.778360689780782e-07
Thorium-228,water,kilo Becquerel,5.641982960779874e-07
"Clay, bentonite",resources / in ground,kilogram,5.385348707854662e-07
"DOC, Dissolved Organic Carbon",water,kilogram,5.177590641250908e-07
Calcium,Emissions / Emissions to water,kilogram,5.008201113353414e-07
Iodine-131,Emissions / Emissions to air,kilo Becquerel,4.684784888930982e-07
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,4.611862776788697e-07
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,4.520913178221786e-07
To Industrial Area,Land use / Land transformation,square meter,4.440146771935091e-07
To Forest,Land use / Land transformation,square meter,4.32372147743454e-07
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,4.1905870472770396e-07
Magnesium,Emissions / Emissions to water,kilogram,4.1828690013211554e-07
Biological Oxygen Demand,water,kilogram,4.021220718321346e-07
Krypton-89,air,kilo Becquerel,3.8950760737943116e-07
boron,Emissions / Emissions to water,kilogram,3.3479735180210836e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,3.343029049043929e-07
Iron,Emissions / Emissions to water,kilogram,3.300112214378533e-07
Chloride,Emissions / Emissions to soil,kilogram,3.281654532442082e-07
strontium,Emissions / Emissions to water,kilogram,3.1855476694281637e-07
From Mineral Extraction Site,Land use / Land transformation,square meter,3.167786632709236e-07
Potassium chloride,resources / in ground,kilogram,2.9882511719386726e-07
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,2.94488962808878e-07
Sodium,water,kilogram,2.9329184823255944e-07
copper,Emissions / Emissions to water,kilogram,2.8478675863951045e-07
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,2.8297021244693564e-07
Total Organic Carbon,water,kilogram,2.69356933833014e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,2.3075806533621967e-07
Hydrogen,air,kilogram,2.3011100282526634e-07
Xenon-133,Emissions / Emissions to air,kilo Becquerel,2.2792921491257669e-07
Construction Site,Land use / Land occupation,square meter-year,2.2367969451784847e-07
Ammonia,Emissions / Emissions to air,kilogram,2.1905323616676923e-07
From Forest,Land use / Land transformation,square meter,2.0987505160770254e-07
Aluminium,Emissions / Emissions to air,kilogram,1.96169409121389e-07
Molybdenum,Resources / Resources from ground,kilogram,1.9373552880187094e-07
Zinc,Resources / Resources from ground,kilogram,1.9163962282125159e-07
lead,Emissions / Emissions to water,kilogram,1.9118600252393084e-07
Polonium-210,Emissions / Emissions to air,kilo Becquerel,1.82798848508248e-07
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,1.80594993163166e-07
Xenon-133m,air,kilo Becquerel,1.776045738168042e-07
Polonium-210,water,kilo Becquerel,1.738475662924877e-07
Kaolinite,soil,kilogram,1.6954746950120097e-07
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,1.6876294214155952e-07
Silver-110,Emissions / Emissions to water,kilo Becquerel,1.6580243924398392e-07
To Arable,Land use / Land transformation,square meter,1.649155623279883e-07
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,1.6462519594336394e-07
Uranium-235,Emissions / Emissions to water,kilo Becquerel,1.4562622198857987e-07
Radon-220,air,kilo Becquerel,1.4393219659952083e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.3803548948879956e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,1.3750361617851838e-07
cobalt,Emissions / Emissions to water,kilogram,1.3739774882951129e-07
Radon-220,air,kilo Becquerel,1.3041272070904157e-07
Nitrate,Emissions / Emissions to water,kilogram,1.3008551916288975e-07
Chromium VI,"emissions to water / groundwater, long-term",kilogram,1.2849175604860158e-07
Radium-226,Emissions / Emissions to air,kilo Becquerel,1.2628177925023604e-07
Fluorspar,soil,kilogram,1.2567694167695788e-07
Biological Oxygen Demand,water,kilogram,1.2493221954872544e-07
Sulfate Ion,water,kilogram,1.2372662269786516e-07
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,1.212380636131088e-07
Arable,Land use / Land occupation,square meter-year,1.2113086911229254e-07
Xenon-135,air,kilo Becquerel,1.1986670350692953e-07
Shrub Land,Land use / Land occupation,square meter-year,1.193023715964564e-07
Magnesium,Emissions / Emissions to water,kilogram,1.1849329259149146e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,1.1570879975211489e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.1512025943678392e-07
arsenic,Emissions / Emissions to water,kilogram,1.1242959628928453e-07
Lead-210,Emissions / Emissions to air,kilo Becquerel,1.037843012555618e-07
From Arable,Land use / Land transformation,square meter,9.942449923344097e-08
Particles (PM10),Emissions / Emissions to air,kilogram,9.007295460561262e-08
Potassium,water,kilogram,8.872132278161987e-08
Chemical Oxygen Demand,water,kilogram,8.73153076718501e-08
Uranium-234,Emissions / Emissions to water,kilo Becquerel,8.488623969835392e-08
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,8.249364452956218e-08
Potassium,water,kilogram,8.176039318798932e-08
Radium-228,air,kilo Becquerel,8.128419524856196e-08
titanium,Emissions / Emissions to water,kilogram,7.736263467892462e-08
Cesium-137,Emissions / Emissions to water,kilo Becquerel,7.282420272035864e-08
Nitrous Oxide,Emissions / Emissions to air,kilogram,7.212038252137213e-08
Thorium-234,water,kilo Becquerel,7.036681839378665e-08
Protactinium-234,water,kilo Becquerel,7.035339777762526e-08
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,6.861200466997455e-08
Chromium,Emissions / Emissions to air,kilogram,6.564168987818556e-08
"To Traffic Area, Road Network",Land use / Land transformation,square meter,6.309308658838397e-08
Uranium-238,Emissions / Emissions to water,kilo Becquerel,6.042697397056006e-08
Chemical Oxygen Demand,water,kilogram,5.9321878610048614e-08
Biological Oxygen Demand,water,kilogram,5.880989290030672e-08
Sulfide ion,water,kilogram,5.7950291052690885e-08
Hydrogen Chloride,Emissions / Emissions to air,kilogram,5.70266430609324e-08
From Shrub Land,Land use / Land transformation,square meter,5.6963728106943395e-08
Methane (fossil),Emissions / Emissions to air,kilogram,5.2031595314634914e-08
Calcium,Emissions / Emissions to soil,kilogram,4.8533090976950865e-08
Phosphorus,Resources / Resources from ground,kilogram,4.833528503470057e-08
From Seabed,land use,square meter,4.683291369094048e-08
