flow,compartment,unit,amount
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.000475486728252541
Lead-210,water,kilo Becquerel,0.00046387457334414183
Methane (fossil),Emissions / Emissions to air,kilogram,0.0004598250624640137
Sodium,"emissions to water / groundwater, long-term",kilogram,0.00045741944433551785
magnesium,Emissions / Emissions to water,kilogram,0.0004279359281212265
chloride,Emissions / Emissions to water,kilogram,0.00038636867695048373
Radium-228,water,kilo Becquerel,0.0003668466333152271
Sodium,water,kilogram,0.00035294604524913027
Sulfate Ion,air,kilogram,0.0003372711378877241
Barite,resources / in ground,kilogram,0.00033166680814282826
Boron,Emissions / Emissions to water,kilogram,0.0003306534730089659
Waste Heat,water,megajoule,0.00030460445108876735
Industrial Area,Land use / Land occupation,square meter-year,0.0002982937837269402
Thorium-230,water,kilo Becquerel,0.0002748931995039392
Xenon-138,air,kilo Becquerel,0.000245565587791448
Potassium,"emissions to water / groundwater, long-term",kilogram,0.00022985037490365568
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00022371211015520802
Particles (> PM10),air,kilogram,0.0002186750634673212
Inland Water Bodies,land use,square meter-year,0.00021304394425466887
Water Bodies,land use,square meter-year,0.00020478163582455413
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.00020274548244075957
iron,Emissions / Emissions to water,kilogram,0.00019738230074552504
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.00019060157565399475
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.00017994601006660147
"Suspended Solids, Unspecified",water,kilogram,0.00017821536792800473
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0001715233262020879
Dolomite,soil,kilogram,0.00017003354619563596
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.00016245034552446057
Argon-41,air,kilo Becquerel,0.00015292558614641956
Fluoride Ion,Emissions / Emissions to water,kilogram,0.00015025683771914387
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00014916760542457125
Dump Site,Land use / Land occupation,square meter-year,0.0001416848987385567
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0001333731882238401
Xenon-131m,air,kilo Becquerel,0.00013073280166748592
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00012419818476812932
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.00012233601626592927
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00012220954511351582
Radium-224,water,kilo Becquerel,0.00012145051037074261
Sulfate Ion,water,kilogram,0.00011697039047904564
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.00011193305973343181
Waste water,emissions to water / river,kilogram,0.00010935661094579175
Waste Heat,water,megajoule,0.00010764045124337564
Sulfite,water,kilogram,0.00010001341658526636
Krypton-85m,air,kilo Becquerel,9.676572343165506e-05
Thorium-228,water,kilo Becquerel,9.636617756235849e-05
Radium-224,water,kilo Becquerel,9.250215510818746e-05
Methane (fossil),Emissions / Emissions to air,kilogram,9.113723493852663e-05
Particles (PM10),Emissions / Emissions to air,kilogram,9.000458596728015e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,8.671059905627433e-05
Calcium,Emissions / Emissions to water,kilogram,8.54953104435161e-05
Potassium,water,kilogram,8.46710347057401e-05
Ground Water,Resources / Resources from water,cubic meter,8.284547423014738e-05
Uranium alpha,emissions to water / river,kilo Becquerel,7.849286541853647e-05
copper,Emissions / Emissions to water,kilogram,7.488300045294266e-05
Thorium-228,water,kilo Becquerel,7.334167895091013e-05
zinc,Emissions / Emissions to water,kilogram,7.0761711740805e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,6.786761927272581e-05
Air,air,kilogram,6.550089103001318e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,6.453493256286225e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,6.334437274404652e-05
Magnesite,soil,kilogram,6.200044883468891e-05
"Nitrogen, organic bound","emissions to water / groundwater, long-term",kilogram,6.193354314831817e-05
Aluminium,Resources / Resources from ground,kilogram,5.9552110273884244e-05
Copper,Resources / Resources from ground,kilogram,5.423847050108007e-05
Phosphate,Emissions / Emissions to water,kilogram,5.4190605391929845e-05
"To Arable, Non-irrigated",Land use / Land transformation,square meter,5.2499477095188646e-05
Ammonium,Emissions / Emissions to water,kilogram,5.18097776083187e-05
Biological Oxygen Demand,water,kilogram,5.148369637103481e-05
Chromium,Resources / Resources from ground,kilogram,5.0327860533553386e-05
"From Arable, Non-irrigated",Land use / Land transformation,square meter,4.9597161532593785e-05
From Pasture/meadow,Land use / Land transformation,square meter,4.277723792368095e-05
Used Air,air,kilogram,4.084114230591914e-05
Waste water,emissions to water / ocean,kilogram,4.027770679471876e-05
Iodine-131,Emissions / Emissions to air,kilo Becquerel,3.960963046698496e-05
Total Organic Carbon,water,kilogram,3.948142327363287e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,3.9352395474349454e-05
"To Forest, Intensive",Land use / Land transformation,square meter,3.885747389750997e-05
"From Forest, Intensive",Land use / Land transformation,square meter,3.849265619851486e-05
Water,air,cubic meter,3.8063238397804384e-05
ammonium,Emissions / Emissions to water,kilogram,3.794245875877547e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,3.567552984762943e-05
manganese,Emissions / Emissions to water,kilogram,3.5309938487097677e-05
Total Organic Carbon,water,kilogram,3.266172968095496e-05
Xenon-137,air,kilo Becquerel,3.221411098572834e-05
Krypton-88,air,kilo Becquerel,3.0691667280909105e-05
lead,Emissions / Emissions to water,kilogram,3.038603233736941e-05
Nickel,Resources / Resources from ground,kilogram,2.970328021628924e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,2.8745508153573158e-05
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,2.8076868276345347e-05
From Forest,Land use / Land transformation,square meter,2.7513236474569858e-05
Krypton-87,air,kilo Becquerel,2.4450519621246596e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.442339870298138e-05
Construction Site,Land use / Land occupation,square meter-year,2.397483566112406e-05
Nitrate,Emissions / Emissions to water,kilogram,2.3879690410041237e-05
To Forest,Land use / Land transformation,square meter,2.2716631312291693e-05
"Solids, Inorganic",water,kilogram,2.234015714885662e-05
Aluminium,Emissions / Emissions to air,kilogram,2.0551972399252828e-05
"Clay, bentonite",resources / in ground,kilogram,2.0504255798414262e-05
"Solids, Inorganic",water,kilogram,1.9838006884449745e-05
Chlorate ion,Emissions / Emissions to water,kilogram,1.9753277466363916e-05
"DOC, Dissolved Organic Carbon",water,kilogram,1.8617123213056502e-05
To Mineral Extraction Site,Land use / Land transformation,square meter,1.8576289233631765e-05
Basalt,soil,kilogram,1.801839416848655e-05
Biological Oxygen Demand,water,kilogram,1.70747859501796e-05
Hypochlorite,water,kilogram,1.6867280443947077e-05
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,1.6417593436157272e-05
Shrub Land,Land use / Land occupation,square meter-year,1.587515644140696e-05
Phosphate,Emissions / Emissions to water,kilogram,1.5211894960838691e-05
Manganese,Resources / Resources from ground,kilogram,1.4879165653028854e-05
Zinc,Resources / Resources from ground,kilogram,1.4682115267951745e-05
Magnesium,Emissions / Emissions to water,kilogram,1.4138381056535244e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.368594273326255e-05
fluoride,Emissions / Emissions to water,kilogram,1.2991306948610766e-05
Chemical Oxygen Demand,water,kilogram,1.249076006796434e-05
Radon-220,air,kilo Becquerel,1.2121061402103437e-05
Krypton-89,air,kilo Becquerel,1.1829528731696017e-05
Water,Emissions / Emissions to water,cubic meter,1.1703347179856906e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.1484647251017555e-05
From Mineral Extraction Site,Land use / Land transformation,square meter,1.139424115851954e-05
Fluorspar,soil,kilogram,1.0652063489513254e-05
Polonium-210,water,kilo Becquerel,1.05679793613474e-05
Potassium chloride,resources / in ground,kilogram,9.951283222903164e-06
barium,Emissions / Emissions to water,kilogram,9.862558950741574e-06
Potassium,water,kilogram,9.745693175991405e-06
Sulfate Ion,water,kilogram,9.74166919041516e-06
Iron,Emissions / Emissions to water,kilogram,9.30921251076095e-06
To Dump Site,Land use / Land transformation,square meter,9.282965431890357e-06
nickel,Emissions / Emissions to water,kilogram,8.88769402761518e-06
Ammonia,Emissions / Emissions to air,kilogram,8.42289625157479e-06
Xenon-133m,air,kilo Becquerel,8.351078760607e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,8.09892558070516e-06
Calcium,Emissions / Emissions to soil,kilogram,7.255381334137202e-06
From Unspecified,Land use / Land transformation,square meter,7.047576258244415e-06
Radon-220,air,kilo Becquerel,6.938956198459795e-06
