flow,compartment,unit,amount
Radium-228,water,kilo Becquerel,3.476380038305966e-05
"Solids, Inorganic",water,kilogram,3.470760041340806e-05
Water,air,cubic meter,3.3551331918934955e-05
Aluminium,Resources / Resources from ground,kilogram,3.0162392038637763e-05
Sodium,water,kilogram,2.9156615129164416e-05
Nitrate,Emissions / Emissions to water,kilogram,2.7798161358997602e-05
Water,Resources / Resources from water,cubic meter,2.740290980974074e-05
manganese,Emissions / Emissions to water,kilogram,2.571706831305788e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,2.345856641227396e-05
Barite,resources / in ground,kilogram,2.2896521234170794e-05
Methane (fossil),Emissions / Emissions to air,kilogram,2.2323717994673115e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,2.1494434300316617e-05
Sulfate Ion,water,kilogram,2.0576719807333558e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,2.046127489001645e-05
Radon-220,air,kilo Becquerel,1.9623765590383375e-05
Hypochlorite,water,kilogram,1.9616300011256255e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,1.9326458753628165e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.9061995581853228e-05
Waste Heat,water,megajoule,1.754101185797563e-05
Particles (> PM10),air,kilogram,1.7117903193602135e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,1.6926035518227103e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.6820210302849775e-05
Iron,Emissions / Emissions to water,kilogram,1.5922797914754673e-05
Magnesite,soil,kilogram,1.587291330218138e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.4850729870115846e-05
Radium-224,water,kilo Becquerel,1.4595429886669031e-05
Chromium,Resources / Resources from ground,kilogram,1.419998048438975e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.390089294475412e-05
Phosphate,Emissions / Emissions to water,kilogram,1.3760692343520902e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,1.3263852926124427e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,1.2925824079050114e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,1.2680191343982319e-05
Krypton-88,air,kilo Becquerel,1.248535443831846e-05
Radon-220,air,kilo Becquerel,1.199991028422849e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.1820779127849152e-05
Krypton-87,air,kilo Becquerel,1.1763416382435618e-05
Thorium-228,water,kilo Becquerel,1.158158706210149e-05
Calcium,Emissions / Emissions to water,kilogram,1.1475572973278359e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.1025391487466395e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.028468415591582e-05
Calcium,Emissions / Emissions to water,kilogram,1.0250786422692599e-05
Xenon-133m,air,kilo Becquerel,9.493700987636442e-06
strontium,Emissions / Emissions to water,kilogram,9.363378804878305e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,9.307928583327743e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,9.200024104530277e-06
Hydrogen,air,kilogram,9.088201502155632e-06
Radium-224,water,kilo Becquerel,8.766177085229786e-06
Nickel,Resources / Resources from ground,kilogram,8.346390911036349e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,8.072051762595365e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,8.049193774770422e-06
Xenon-137,air,kilo Becquerel,7.862026873018956e-06
From Pasture/meadow,Land use / Land transformation,square meter,7.788833705026877e-06
Calcium,Emissions / Emissions to water,kilogram,7.687839621253765e-06
Polonium-210,Emissions / Emissions to air,kilo Becquerel,7.539681010750109e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,7.182587316385524e-06
fluoride,Emissions / Emissions to water,kilogram,7.036404971446088e-06
Thorium-228,water,kilo Becquerel,6.952438552404604e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,6.8551693412848145e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,6.8551693412847095e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,6.143543028212693e-06
Lead,Resources / Resources from ground,kilogram,5.584773803208647e-06
zinc,Emissions / Emissions to water,kilogram,5.581900116845802e-06
Uranium-235,Emissions / Emissions to water,kilo Becquerel,5.420935796421287e-06
Waste water,emissions to water / river,kilogram,5.372480971133575e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,5.21574855685639e-06
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,5.135935790970864e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,4.951629511123085e-06
Sodium,water,kilogram,4.717589550504089e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,4.660371489373242e-06
"Clay, bentonite",resources / in ground,kilogram,4.593673858325286e-06
Magnesium,Emissions / Emissions to water,kilogram,4.407273134392535e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,4.405525701224643e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.3673229807080565e-06
Lead-210,Emissions / Emissions to air,kilo Becquerel,4.249667762300751e-06
"Suspended Solids, Unspecified",water,kilogram,4.238155750749725e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,4.233095199736128e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,4.117230849235623e-06
Manganese,Resources / Resources from ground,kilogram,4.006319327465988e-06
To Industrial Area,Land use / Land transformation,square meter,3.840703750358809e-06
From Unspecified,Land use / Land transformation,square meter,3.803037238401915e-06
From Forest,Land use / Land transformation,square meter,3.696208592404422e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,3.6660676351052264e-06
Total Organic Carbon,water,kilogram,3.6193516268473532e-06
Particles (PM10),Emissions / Emissions to air,kilogram,3.3329151854713673e-06
Fluorspar,soil,kilogram,3.3221450249436512e-06
Air,air,kilogram,3.2179333979678487e-06
Uranium-234,Emissions / Emissions to water,kilo Becquerel,3.2071788436312064e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.1290444914895903e-06
To Forest,Land use / Land transformation,square meter,3.0230737312296052e-06
Krypton-89,air,kilo Becquerel,2.9873806736655062e-06
boron,Emissions / Emissions to water,kilogram,2.969191301074253e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,2.7783928282945025e-06
Potassium-40,water,kilo Becquerel,2.7255727022964324e-06
Thorium-234,water,kilo Becquerel,2.6656002411118624e-06
Protactinium-234,water,kilo Becquerel,2.6651776465166045e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,2.5755790080365643e-06
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,2.5311874204023916e-06
nickel,Emissions / Emissions to water,kilogram,2.462877403039657e-06
Nitrate,Emissions / Emissions to water,kilogram,2.4056426051229326e-06
Total Organic Carbon,water,kilogram,2.3847962174812843e-06
Silicon,Emissions / Emissions to water,kilogram,2.321953222384486e-06
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,2.278473827979298e-06
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,2.277159103483666e-06
To Water Bodies,land use,square meter,2.2702015666311186e-06
Polonium-210,water,kilo Becquerel,2.216286644022575e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,2.1408031553053965e-06
