flow,compartment,unit,amount
Barite,resources / in ground,kilogram,0.0011701104992659435
Dolomite,soil,kilogram,0.0011512303072546551
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0011411656461648603
Sulfate Ion,water,kilogram,0.0010637476897305763
Argon-41,air,kilo Becquerel,0.0009981006005643728
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0009911106784438715
Dump Site,Land use / Land occupation,square meter-year,0.0009675060224890517
Methane (fossil),Emissions / Emissions to air,kilogram,0.0009635343534683776
Used Air,air,kilogram,0.0009493032534964629
Chemical Oxygen Demand,water,kilogram,0.0009491761570966141
Waste water,emissions to water / ocean,kilogram,0.0009362068724033111
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0008242754917285347
Phosphate,Emissions / Emissions to water,kilogram,0.0008141130322759673
iron,Emissions / Emissions to water,kilogram,0.0007955023303942797
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.000774208078926258
Hypochlorite,water,kilogram,0.0007679749717216634
Aluminium,Resources / Resources from ground,kilogram,0.0006967446520407981
Radium-224,water,kilo Becquerel,0.000691723896172817
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0006740727389689309
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0006740727389689181
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0006417217153848807
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0006057589516594915
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.00058623248038164
Thorium-228,water,kilo Becquerel,0.0005502756031137587
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0005350407822144459
Calcium,Emissions / Emissions to water,kilogram,0.0005305898086396837
Ground Water,Resources / Resources from water,cubic meter,0.00044377124355779847
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00044376703618488904
Radium-224,water,kilo Becquerel,0.00044065348500352296
Inland Water Bodies,land use,square meter-year,0.00042866275978326035
Potassium chloride,resources / in ground,kilogram,0.0004148699058014401
"To Forest, Intensive",Land use / Land transformation,square meter,0.0004140324514116286
"From Forest, Intensive",Land use / Land transformation,square meter,0.0004002931512577474
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0003896185649414179
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.0003851443447349037
Calcium,Emissions / Emissions to water,kilogram,0.0003770635425333242
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00036840365275892054
Waste Heat,water,megajoule,0.00036465004916520587
Xenon-138,air,kilo Becquerel,0.00036155818948694214
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0003577610789996229
Uranium alpha,emissions to water / river,kilo Becquerel,0.00035149431168780246
Thorium-228,water,kilo Becquerel,0.0003493947194242436
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00034669875825124043
Copper,Resources / Resources from ground,kilogram,0.0003316219987245311
Sulfate Ion,water,kilogram,0.0003205196242966441
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0002920214396599522
Xenon-131m,air,kilo Becquerel,0.00029083859273300826
Basalt,soil,kilogram,0.00028716755833432003
manganese,Emissions / Emissions to water,kilogram,0.0002812008264359581
"Suspended Solids, Unspecified",water,kilogram,0.0002687902532900181
Chloride,Emissions / Emissions to soil,kilogram,0.0002657368292375298
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,0.00026204428810418007
"Solids, Inorganic",water,kilogram,0.00025930712347827547
Water,air,cubic meter,0.00025265598938917813
Particles (> PM10),air,kilogram,0.00024368680073510806
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.000239799521173141
Polonium-210,water,kilo Becquerel,0.00023677142335656342
Nitrate,Emissions / Emissions to water,kilogram,0.00022371100855096815
Sodium,water,kilogram,0.00021043693468084554
Particles (PM10),Emissions / Emissions to air,kilogram,0.00019975841728306123
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00018898986202816923
Radon-220,air,kilo Becquerel,0.00018595663212542626
Total Organic Carbon,water,kilogram,0.00017543700433682126
Total Organic Carbon,water,kilogram,0.00017500283491361172
Krypton-85m,air,kilo Becquerel,0.00016622008888115994
Construction Site,Land use / Land occupation,square meter-year,0.0001571009265836029
To Industrial Area,Land use / Land transformation,square meter,0.00014434875257230312
titanium,Emissions / Emissions to water,kilogram,0.0001441929388657558
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00014168322269306823
Sulfate Ion,water,kilogram,0.0001408488156879494
nickel,Emissions / Emissions to water,kilogram,0.000133249485116822
Potassium,water,kilogram,0.000127526326145046
fluoride,Emissions / Emissions to water,kilogram,0.00012475823759535635
To Arable,Land use / Land transformation,square meter,0.00012398769644795436
Iron,Emissions / Emissions to water,kilogram,0.00012389562031453154
Phosphate,Emissions / Emissions to water,kilogram,0.00012348342331885168
Total Organic Carbon,water,kilogram,0.00012051991751659952
Hydrogen,air,kilogram,0.00011712528381326064
From Unspecified,Land use / Land transformation,square meter,0.00011422934991894608
vanadium,Emissions / Emissions to water,kilogram,0.0001139309529267487
From Forest,Land use / Land transformation,square meter,0.00011204855372868344
Nickel,Resources / Resources from ground,kilogram,0.00010757959192946403
Nitrate,Emissions / Emissions to water,kilogram,0.00010730689389466667
Manganese,Resources / Resources from ground,kilogram,0.00010462235239814134
Particles (> PM10),air,kilogram,0.0001017122842868122
Zinc,Resources / Resources from ground,kilogram,9.780268177760892e-05
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,9.412001045326914e-05
"Clay, bentonite",resources / in ground,kilogram,9.283470378745804e-05
Particles (PM10),Emissions / Emissions to air,kilogram,9.196370054231501e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,9.184016551568807e-05
Silicon,Emissions / Emissions to water,kilogram,9.146642306023854e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,9.062729932483145e-05
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,9.036758981965671e-05
zinc,Emissions / Emissions to water,kilogram,8.93459431409583e-05
Arable,Land use / Land occupation,square meter-year,8.841534976991388e-05
Radon-220,air,kilo Becquerel,8.821726726183487e-05
Magnesium,Emissions / Emissions to water,kilogram,8.76380172091422e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,8.711016708762458e-05
Calcium,Emissions / Emissions to water,kilogram,8.515660503096334e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,8.496206523792532e-05
To Forest,Land use / Land transformation,square meter,8.096137600958293e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,8.094227578450699e-05
Magnesium,Emissions / Emissions to water,kilogram,8.013970423333219e-05
strontium,Emissions / Emissions to water,kilogram,7.748492566551209e-05
From Arable,Land use / Land transformation,square meter,7.083001962843482e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.677585275607925e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.29330734931171e-05
Shrub Land,Land use / Land occupation,square meter-year,6.088340230629442e-05
From Shrub Land,Land use / Land transformation,square meter,6.082895677402863e-05
"Oils, Unspecified",Emissions / Emissions to water,kilogram,6.059618349751132e-05
Biological Oxygen Demand,water,kilogram,6.0116044263772686e-05
Biological Oxygen Demand,water,kilogram,5.906197215885344e-05
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,5.796477666617164e-05
Chemical Oxygen Demand,water,kilogram,5.766826647909496e-05
Krypton-88,air,kilo Becquerel,5.7595675061310365e-05
Biological Oxygen Demand,water,kilogram,5.750780440764734e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,5.702741462324294e-05
Potassium,water,kilogram,5.5352381397178665e-05
Phosphorus,Resources / Resources from ground,kilogram,5.489191527364069e-05
Xenon-135,air,kilo Becquerel,5.2059287983552225e-05
To Dump Site,Land use / Land transformation,square meter,5.0974331556865144e-05
Krypton-87,air,kilo Becquerel,5.065892433598879e-05
Fluorspar,soil,kilogram,5.065512103003064e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,4.878982480497456e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,4.87614064055902e-05
Particles (PM10),Emissions / Emissions to air,kilogram,4.81229530922063e-05
Xenon-137,air,kilo Becquerel,4.3954017841598946e-05
"From Forest, Natural",Land use / Land transformation,square meter,4.152205599634134e-05
Polonium-210,Emissions / Emissions to air,kilo Becquerel,4.119400669568421e-05
Particles (> PM10),air,kilogram,3.8290890038478405e-05
Xenon-133m,air,kilo Becquerel,3.5292203775657264e-05
Methane (fossil),Emissions / Emissions to air,kilogram,3.4107515647468786e-05
Ethane,Emissions / Emissions to air,kilogram,3.3617291791426335e-05
Chemical Oxygen Demand,water,kilogram,3.2933670184074995e-05
To Mineral Extraction Site,Land use / Land transformation,square meter,3.276828833110643e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.2095519309580476e-05
From Seabed,land use,square meter,3.185198179248175e-05
Chloride,Emissions / Emissions to water,kilogram,3.131436222255817e-05
Calcium,Emissions / Emissions to soil,kilogram,2.914241318955338e-05
lake water,Resources / Resources from water,cubic meter,2.8406991590991797e-05
Potassium-40,water,kilo Becquerel,2.7543901501646605e-05
Lead,Resources / Resources from ground,kilogram,2.7044218660198357e-05
Hydrogen Chloride,Emissions / Emissions to air,kilogram,2.6980871527453784e-05
