flow,compartment,unit,amount
Radium-228,water,kilo Becquerel,8.180019864560974e-06
Lead-210,water,kilo Becquerel,8.13352964275479e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,8.110578716060954e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,8.110578716009352e-06
Sodium,water,kilogram,7.574770576243353e-06
Sodium,water,kilogram,7.129843382299774e-06
Phosphate,Emissions / Emissions to water,kilogram,7.03721545400343e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,6.936420461552947e-06
aluminium,Emissions / Emissions to water,kilogram,6.88990333607825e-06
Particles (> PM10),air,kilogram,6.889747789066116e-06
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,6.511693542137494e-06
"Suspended Solids, Unspecified",water,kilogram,6.4265468616045095e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,6.254984637791348e-06
Methane (fossil),Emissions / Emissions to air,kilogram,6.252353107888766e-06
Methane (fossil),Emissions / Emissions to air,kilogram,5.874414480949643e-06
Waste water,emissions to water / river,kilogram,5.666036066821805e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,5.577914622598519e-06
Radium-228,water,kilo Becquerel,5.329373286575723e-06
Particles (PM10),Emissions / Emissions to air,kilogram,5.179687610063324e-06
Lead-210,water,kilo Becquerel,5.160524290825402e-06
chloride,Emissions / Emissions to water,kilogram,5.1295978323071136e-06
Aluminium,Resources / Resources from ground,kilogram,4.804929782897124e-06
Sulfate Ion,water,kilogram,4.641296139123822e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,4.008724787203222e-06
Xenon-133,Emissions / Emissions to air,kilo Becquerel,3.864610371941265e-06
"Wood, soft, standing",resources / biotic,cubic meter,3.7588980247499043e-06
Uranium alpha,emissions to water / river,kilo Becquerel,3.7391842969213926e-06
Inland Water Bodies,land use,square meter-year,3.686136465092103e-06
Barite,resources / in ground,kilogram,3.6332954058813418e-06
Xenon-138,air,kilo Becquerel,3.589255653327591e-06
manganese,Emissions / Emissions to water,kilogram,3.5224892417231434e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,3.508359887354999e-06
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,3.5057602658185647e-06
Air,air,kilogram,3.3937629172596563e-06
Chloride,Emissions / Emissions to water,kilogram,3.3724493689371196e-06
Iodine-131,Emissions / Emissions to air,kilo Becquerel,3.3124327217086293e-06
Ground Water,Resources / Resources from water,cubic meter,3.225033444997449e-06
Xenon-131m,air,kilo Becquerel,3.223390721614372e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,3.147882057938068e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.144878736702528e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,3.0957179908142414e-06
Silicon,Emissions / Emissions to water,kilogram,2.937613095029781e-06
From Pasture/meadow,Land use / Land transformation,square meter,2.930934654129196e-06
"Clay, bentonite",resources / in ground,kilogram,2.9031034510623015e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,2.897442126177468e-06
Phosphate,Emissions / Emissions to water,kilogram,2.8846037085456673e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.733550158679677e-06
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,2.616422635493879e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,2.5205088488103265e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.3640261212084115e-06
Calcium,Emissions / Emissions to water,kilogram,2.337601682869836e-06
Hypochlorite,water,kilogram,2.172995353094433e-06
Used Air,air,kilogram,2.116080439162921e-06
Waste water,emissions to water / ocean,kilogram,2.0868874539361565e-06
Radium-224,water,kilo Becquerel,2.062623848138295e-06
Chemical Oxygen Demand,water,kilogram,2.0485556052472917e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,2.0467232445057226e-06
Biological Oxygen Demand,water,kilogram,2.0306533350324055e-06
From Forest,Land use / Land transformation,square meter,1.9866042795226775e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.9842792489524884e-06
Chemical Oxygen Demand,water,kilogram,1.968628203630664e-06
Nitrate,Emissions / Emissions to water,kilogram,1.9211025428242052e-06
To Forest,Land use / Land transformation,square meter,1.9140407679899215e-06
Calcium,Emissions / Emissions to water,kilogram,1.8771513407132224e-06
Water,air,cubic meter,1.8749808241535287e-06
fluoride,Emissions / Emissions to water,kilogram,1.8255363429689572e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,1.8152634361440125e-06
Krypton-85m,air,kilo Becquerel,1.7533353626173546e-06
Thorium-228,water,kilo Becquerel,1.6399049370475516e-06
"Solids, Inorganic",water,kilogram,1.6214053997910712e-06
Hydrogen,air,kilogram,1.6049218494940515e-06
Calcium,Emissions / Emissions to water,kilogram,1.5480366222795426e-06
Waste Heat,water,megajoule,1.5311019705588634e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.3444037038932318e-06
Radium-224,water,kilo Becquerel,1.343886052832084e-06
Tin atom,Resources / Resources from ground,kilogram,1.3165534524367983e-06
zinc,Emissions / Emissions to water,kilogram,1.2604537000013637e-06
Biological Oxygen Demand,water,kilogram,1.156057930252261e-06
Iron,Emissions / Emissions to water,kilogram,1.1175139484549334e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,1.068512663098047e-06
Potassium chloride,resources / in ground,kilogram,1.067062537451572e-06
Thorium-228,water,kilo Becquerel,1.0658998459672534e-06
Uranium alpha,emissions to water / lake,kilo Becquerel,9.438202591531145e-07
Radon-220,air,kilo Becquerel,9.270416129234676e-07
Molybdenum,Resources / Resources from ground,kilogram,8.668949187388919e-07
strontium,Emissions / Emissions to water,kilogram,8.126394669019319e-07
boron,Emissions / Emissions to water,kilogram,7.943499487836685e-07
Total Organic Carbon,water,kilogram,7.924365056389675e-07
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,7.776150070655421e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,7.22359413558878e-07
Sodium,water,kilogram,7.135043240192763e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,6.894656365869234e-07
Chloride,Emissions / Emissions to soil,kilogram,6.867091164761704e-07
Basalt,soil,kilogram,6.675870679929754e-07
nickel,Emissions / Emissions to water,kilogram,6.638492238244669e-07
Total Organic Carbon,water,kilogram,6.469974111959016e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,6.420602262659751e-07
From Unspecified,Land use / Land transformation,square meter,6.368643896446775e-07
Krypton-88,air,kilo Becquerel,6.197143214952102e-07
Agriculture,Land use / Land occupation,square meter-year,5.993883971013753e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,5.987800816183585e-07
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,5.812890487837147e-07
To Industrial Area,Land use / Land transformation,square meter,5.788297992243228e-07
Construction Site,Land use / Land occupation,square meter-year,5.760573544235705e-07
Krypton-87,air,kilo Becquerel,5.7298296203606e-07
Polonium-210,water,kilo Becquerel,5.695799308289503e-07
"DOC, Dissolved Organic Carbon",water,kilogram,5.601390815941466e-07
