flow,compartment,unit,amount
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,6.469657109557013e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,6.430425708717576e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,6.38624577982599e-06
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,6.363687512322547e-06
Barium sulfate,Emissions / Emissions to water,kilogram,6.2666013677300906e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,6.159917009679085e-06
Strontium,Emissions / Emissions to water,kilogram,5.724827192763457e-06
Forest,Land use / Land occupation,square meter-year,5.36766522976191e-06
"DOC, Dissolved Organic Carbon",water,kilogram,5.108061258476068e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,5.096888770957838e-06
Industrial Area,Land use / Land occupation,square meter-year,5.040969981540522e-06
From Pasture/meadow,Land use / Land transformation,square meter,4.955090573123071e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.870147110569471e-06
Carbonate Ion,water,kilogram,4.67784220301621e-06
magnesium,Emissions / Emissions to water,kilogram,4.558744669872326e-06
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,4.401122792184739e-06
Carbon-14,Emissions / Emissions to air,kilo Becquerel,4.29566134623246e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,4.081932007148861e-06
Peat,Resources / Resources from ground,megajoule,4.0439594008795445e-06
Xenon-135,air,kilo Becquerel,4.012362653074365e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,3.524741079170057e-06
Krypton-85,Emissions / Emissions to air,kilo Becquerel,3.3916977502264044e-06
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,3.254787688108362e-06
"Carboxylic Acids, Unspecified",water,kilogram,3.148064640602912e-06
Total Organic Carbon,water,kilogram,2.925695127440647e-06
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,2.895378506564922e-06
"Clay, bentonite",resources / in ground,kilogram,2.8501436111609248e-06
Ammonium,Emissions / Emissions to water,kilogram,2.7054854905495553e-06
Chromium,Resources / Resources from ground,kilogram,2.6615181653637528e-06
Water Bodies,land use,square meter-year,2.3949590389726947e-06
Propane,Emissions / Emissions to air,kilogram,2.390251672005145e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,2.3781984373036784e-06
Barium,Emissions / Emissions to water,kilogram,2.1622811813573724e-06
Fluorspar,soil,kilogram,2.1454502788280326e-06
Xenon-135m,air,kilo Becquerel,2.0935466176133365e-06
chloride,Emissions / Emissions to water,kilogram,1.967120483060784e-06
aluminium,Emissions / Emissions to water,kilogram,1.9411281282413145e-06
Polonium-210,water,kilo Becquerel,1.937929945593809e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.9256819715904527e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.9256819715904476e-06
river water,Resources / Resources from water,cubic meter,1.8992380352601234e-06
Manganese,Resources / Resources from ground,kilogram,1.7144955873971344e-06
Ground Water,Resources / Resources from water,cubic meter,1.5957783637079942e-06
Nickel,Resources / Resources from ground,kilogram,1.5800935119142514e-06
Thorium-230,water,kilo Becquerel,1.5404328745861474e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1.4859474461563244e-06
Magnesium,Emissions / Emissions to water,kilogram,1.4414106434087123e-06
Construction Site,Land use / Land occupation,square meter-year,1.40803444126619e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,1.2808438609381552e-06
Butane,Emissions / Emissions to air,kilogram,1.2467166105669797e-06
Chemical Oxygen Demand,water,kilogram,1.195176657906791e-06
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,1.164332886729544e-06
Potassium,water,kilogram,1.127428221659186e-06
Sulfate Ion,water,kilogram,1.1020573843796918e-06
Argon-41,air,kilo Becquerel,1.0956979285239187e-06
Aluminium,Resources / Resources from ground,kilogram,1.076528398719598e-06
Sulfate Ion,water,kilogram,1.0718456143540743e-06
Potassium chloride,resources / in ground,kilogram,1.071583361677165e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.0619873903571226e-06
Waste water,emissions to water / river,kilogram,1.0549419067983758e-06
Radon-220,air,kilo Becquerel,1.0222617589549682e-06
Iodide Ion,Emissions / Emissions to water,kilogram,9.757698922680212e-07
iron,Emissions / Emissions to water,kilogram,9.407172623158615e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,9.086032657841321e-07
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,9.022794939518452e-07
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,8.923013860903273e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,8.886849600921534e-07
Calcium,Emissions / Emissions to soil,kilogram,8.639102291525223e-07
"Organic carbon, placed in landfill",resources / in ground,kilogram,8.637119975080515e-07
Nitrogen Oxides,Emissions / Emissions to air,kilogram,8.200082732632488e-07
From Forest,Land use / Land transformation,square meter,8.03472775736487e-07
Particles (> PM10),air,kilogram,7.822739422178578e-07
Cesium-137,Emissions / Emissions to water,kilo Becquerel,7.78834237961872e-07
chloride,Emissions / Emissions to soil,kilogram,7.559206340106222e-07
Phosphate,Emissions / Emissions to water,kilogram,7.379954598937231e-07
Aluminium,Emissions / Emissions to water,kilogram,6.944815091728265e-07
Titanium,Resources / Resources from ground,kilogram,6.921279917348752e-07
Biological Oxygen Demand,water,kilogram,6.743912084531416e-07
Chemical Oxygen Demand,water,kilogram,6.690936492641178e-07
Carbon,soil,kilogram,6.479316485867534e-07
Air,air,kilogram,6.318743264131285e-07
To Arable,Land use / Land transformation,square meter,6.276875410420322e-07
Sodium sulfate,resources / in ground,kilogram,6.228691540561487e-07
"To Forest, Intensive",Land use / Land transformation,square meter,6.108357095786614e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.067521221158002e-07
Bromine,Emissions / Emissions to water,kilogram,5.863048637633547e-07
Phosphorus,Resources / Resources from ground,kilogram,5.519994752834029e-07
"From Forest, Intensive",Land use / Land transformation,square meter,5.424100168029936e-07
Inland Water Bodies,land use,square meter-year,4.6739452604890325e-07
Uranium alpha,emissions to water / river,kilo Becquerel,4.6170005308964027e-07
"Hydrocarbons, Aromatic",Emissions / Emissions to water,kilogram,4.444893954462116e-07
Sodium,soil,kilogram,4.325786459604051e-07
iron,Emissions / Emissions to soil,kilogram,4.319588311266059e-07
Particles (PM10),Emissions / Emissions to air,kilogram,4.319192051383092e-07
Hypochlorite,water,kilogram,4.2621186435127784e-07
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,4.118499186035733e-07
Water,air,cubic meter,3.9479704229001993e-07
Used Air,air,kilogram,3.939865378727535e-07
Waste water,emissions to water / ocean,kilogram,3.885511853375667e-07
Xenon-138,air,kilo Becquerel,3.794535124829934e-07
Chloride,Emissions / Emissions to water,kilogram,3.744506919580009e-07
Polonium-210,Emissions / Emissions to air,kilo Becquerel,3.641949508009781e-07
Silicon,Emissions / Emissions to water,kilogram,3.4845087265292927e-07
"DOC, Dissolved Organic Carbon",water,kilogram,3.3716862340544405e-07
Iodine-131,Emissions / Emissions to air,kilo Becquerel,3.2559526302466314e-07
Strontium,Emissions / Emissions to water,kilogram,3.252947354358462e-07
Nitrate,Emissions / Emissions to water,kilogram,3.1201025850898753e-07
"Oils, Unspecified",Emissions / Emissions to water,kilogram,3.0773377254826176e-07
Xenon-131m,air,kilo Becquerel,3.05504941543837e-07
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,3.043865380919449e-07
Xenon-133,Emissions / Emissions to air,kilo Becquerel,3.000905153645485e-07
Water,Emissions / Emissions to water,cubic meter,2.9647611239345024e-07
Volatile Organic Compound,Emissions / Emissions to water,kilogram,2.931524321938964e-07
manganese,Emissions / Emissions to water,kilogram,2.918457514019695e-07
Copper,Resources / Resources from ground,kilogram,2.7497764823847766e-07
Carbonate Ion,water,kilogram,2.6419090758164206e-07
fluoride,Emissions / Emissions to water,kilogram,2.556530987750786e-07
Nitrate,Emissions / Emissions to water,kilogram,2.535086296187396e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.3939306342672135e-07
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,2.2586047276406954e-07
Lithium,Emissions / Emissions to water,kilogram,2.2195605186877862e-07
aluminium,Emissions / Emissions to soil,kilogram,2.1597716194184082e-07
To Mineral Extraction Site,Land use / Land transformation,square meter,2.1547536981649323e-07
strontium,Emissions / Emissions to water,kilogram,2.0295727912233082e-07
Zinc,Emissions / Emissions to water,kilogram,2.0293806804906713e-07
Lead-210,Emissions / Emissions to air,kilo Becquerel,2.0123080774003328e-07
Boron,Emissions / Emissions to water,kilogram,2.0101691860670132e-07
Iron,Emissions / Emissions to water,kilogram,1.9985148069815476e-07
Phosphate,Emissions / Emissions to water,kilogram,1.9583848835228535e-07
Iron,Emissions / Emissions to water,kilogram,1.9437391938569686e-07
Krypton-85m,air,kilo Becquerel,1.842558164780651e-07
Calcium,Emissions / Emissions to water,kilogram,1.8115947876039215e-07
barium,Emissions / Emissions to water,kilogram,1.784103474586133e-07
"Carboxylic Acids, Unspecified",water,kilogram,1.7320815969049326e-07
Magnesium,Emissions / Emissions to soil,kilogram,1.727817425314382e-07
"Solids, Inorganic",water,kilogram,1.706014357762941e-07
From Shrub Land,Land use / Land transformation,square meter,1.6778977462220774e-07
"From Forest, Natural",Land use / Land transformation,square meter,1.6278189579553972e-07
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.6168703783609292e-07
Ammonium,Emissions / Emissions to water,kilogram,1.5609738797946652e-07
Helium,air,kilogram,1.5137243033990615e-07
Potassium-40,water,kilo Becquerel,1.513429447834672e-07
Radium-226,Emissions / Emissions to air,kilo Becquerel,1.5042364391724896e-07
From Unspecified,Land use / Land transformation,square meter,1.4663285954204214e-07
"Solids, Inorganic",water,kilogram,1.4556267802714731e-07
Hydrogen,air,kilogram,1.4474183060330428e-07
Fluorine,natural resource,kilogram,1.3822501407812673e-07
sulfur,Emissions / Emissions to soil,kilogram,1.29586301151071e-07
Basalt,soil,kilogram,1.266297846585251e-07
Barium(2+),Emissions / Emissions to water,kilogram,1.2268952205904366e-07
Methane (fossil),Emissions / Emissions to air,kilogram,1.165069229953371e-07
Uranium alpha,emissions to water / lake,kilo Becquerel,1.1044115131106463e-07
"Hydrocarbons, Aliphatic, Alkanes, Unspecified",water,kilogram,1.088851848400396e-07
To Industrial Area,Land use / Land transformation,square meter,1.0817690791733579e-07
Barium(2+),Emissions / Emissions to soil,kilogram,1.0798858082688337e-07
titanium,Emissions / Emissions to water,kilogram,1.0765380838631689e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.0702093903454947e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.06558890292038e-07
nickel,Emissions / Emissions to water,kilogram,1.0635828011741951e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,1.0516763096061596e-07
Zinc,Resources / Resources from ground,kilogram,9.991090057027162e-08
Toluene,Emissions / Emissions to water,kilogram,9.795052129988607e-08
Total Organic Carbon,water,kilogram,9.411925616770626e-08
Chemical Oxygen Demand,water,kilogram,9.313498982367324e-08
Biological Oxygen Demand,water,kilogram,9.175313883869583e-08
Lead,Resources / Resources from ground,kilogram,8.658170221582178e-08
Methane (biogenic),Emissions / Emissions to air,kilogram,8.553495755931902e-08
Xylene,Emissions / Emissions to water,kilogram,8.180191051222703e-08
zinc,Emissions / Emissions to water,kilogram,7.95420811191327e-08
Particles (> PM10),air,kilogram,7.89809185234074e-08
Potassium-40,water,kilo Becquerel,7.752800986397603e-08
Sodium,water,kilogram,7.590278554296643e-08
Potassium,soil,kilogram,7.559257786103741e-08
Particles (> PM10),air,kilogram,7.402979409731584e-08
Chloride,Emissions / Emissions to soil,kilogram,6.82136782191558e-08
Phenol,Emissions / Emissions to water,kilogram,6.700922731793927e-08
Particles (PM2.5),Emissions / Emissions to air,kilogram,6.691145980087223e-08
Particles (PM10),Emissions / Emissions to air,kilogram,6.566139579761094e-08
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,6.52992495567773e-08
Hydrogen Chloride,Emissions / Emissions to air,kilogram,6.41864354916174e-08
Polonium-210,water,kilo Becquerel,6.353396239902894e-08
Manganese(2+),Emissions / Emissions to water,kilogram,6.317858152872566e-08
Benzene,Emissions / Emissions to water,kilogram,6.233296271756934e-08
Krypton-88,air,kilo Becquerel,6.177192375583272e-08
Molybdenum,Resources / Resources from ground,kilogram,6.030528560202747e-08
Hydrogen Chloride,Emissions / Emissions to air,kilogram,5.979489606341754e-08
Sulfate Ion,air,kilogram,5.965904634228807e-08
To Forest,Land use / Land transformation,square meter,5.860089187096238e-08
Krypton-87,air,kilo Becquerel,5.7859713877643164e-08
Hydrogen,air,kilogram,5.744399536487535e-08
Radon-220,air,kilo Becquerel,5.7358389925627584e-08
Iodide Ion,Emissions / Emissions to water,kilogram,5.493824478199163e-08
Radium-228,air,kilo Becquerel,4.928595707366554e-08
Shrub Land,Land use / Land occupation,square meter-year,4.717868737834969e-08
Xenon-137,air,kilo Becquerel,4.470484522525227e-08
Potassium-40,air,kilo Becquerel,4.407564039879329e-08
Nitrous Oxide,Emissions / Emissions to air,kilogram,4.298678163444339e-08
copper,Emissions / Emissions to water,kilogram,4.251871365504048e-08
Uranium-238,Emissions / Emissions to air,kilo Becquerel,4.0376843507472445e-08
Aluminium,Emissions / Emissions to air,kilogram,4.015106933902052e-08
Xenon-133m,air,kilo Becquerel,3.9446114423630166e-08
Particles (PM10),Emissions / Emissions to air,kilogram,3.8179531493811124e-08
Sulfide ion,water,kilogram,3.788175763694655e-08
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,3.763066214621227e-08
Agriculture,Land use / Land occupation,square meter-year,3.503047449820466e-08
Bromine,Emissions / Emissions to water,kilogram,3.45861342955889e-08
Iron,Emissions / Emissions to water,kilogram,3.3442888388198344e-08
Thorium-232,emissions to air / high. pop.,kilo Becquerel,3.1313407427259345e-08
Uranium-235,Emissions / Emissions to water,kilo Becquerel,3.105481173025641e-08
lake water,Resources / Resources from water,cubic meter,3.0211700460131276e-08
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,2.9424461424983082e-08
boron,Emissions / Emissions to water,kilogram,2.8888292089603044e-08
Arable,Land use / Land occupation,square meter-year,2.8120960979414752e-08
Methane (biogenic),Emissions / Emissions to air,kilogram,2.7749296136425003e-08
vanadium,Emissions / Emissions to water,kilogram,2.7621160214373214e-08
From Dump Site,Land use / Land transformation,square meter,2.7264430933623666e-08
Carbon-14,Emissions / Emissions to air,kilo Becquerel,2.6518228615451515e-08
"Water, salt, sole",resources / in water,cubic meter,2.6249514745291976e-08
"Hydrocarbons, Aromatic",Emissions / Emissions to water,kilogram,2.4750121422956554e-08
"DOC, Dissolved Organic Carbon",water,kilogram,2.4237656741197538e-08
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,2.375930320363327e-08
Ammonia,Emissions / Emissions to air,kilogram,2.3415510894293143e-08
From Arable,Land use / Land transformation,square meter,2.3117609428183374e-08
Aluminium,Emissions / Emissions to water,kilogram,2.2993870999927283e-08
Ethyl Benzene,Emissions / Emissions to water,kilogram,2.248104883817062e-08
Xenon-135,air,kilo Becquerel,2.1606013211495646e-08
Silicon,Emissions / Emissions to soil,kilogram,2.1597717662385514e-08
Ammonia,Emissions / Emissions to air,kilogram,2.1520499926681732e-08
To Water Bodies,land use,square meter,2.1356751610668692e-08
Phosphate,Emissions / Emissions to water,kilogram,2.113751247991017e-08
Ammonia,Emissions / Emissions to air,kilogram,2.0981506505508112e-08
Thorium-228,air,kilo Becquerel,2.0647688834827064e-08
To Pasture/meadow,Land use / Land transformation,square meter,1.9310548739484338e-08
Pentane,Emissions / Emissions to air,kilogram,1.8672567755659528e-08
Uranium-234,Emissions / Emissions to water,kilo Becquerel,1.8387614945990058e-08
Polycyclic Aromatic Hydrocarbons,Emissions / Emissions to water,kilogram,1.8267502817261068e-08
Sulfur,Emissions / Emissions to water,kilogram,1.8024144748012095e-08
Krypton-89,air,kilo Becquerel,1.66586472043783e-08
Methyl Cyclopentane,Emissions / Emissions to water,kilogram,1.652539512023313e-08
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,1.635613403586393e-08
Hexane,Emissions / Emissions to air,kilogram,1.6320516404457454e-08
Boron,Emissions / Emissions to water,kilogram,1.539553920972105e-08
Thorium-234,water,kilo Becquerel,1.5274291862631603e-08
Protactinium-234,water,kilo Becquerel,1.527002748671889e-08
