flow,compartment,unit,amount
Calcium,Emissions / Emissions to water,kilogram,0.251341514063289
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.24515333093722408
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.24000231616841
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,0.2323482227935789
Radium-224,water,kilo Becquerel,0.23221250968615134
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.2264784041102707
Sulfate Ion,water,kilogram,0.22586682681507972
Water Bodies,land use,square meter-year,0.22275734395954502
Potassium,"emissions to water / groundwater, long-term",kilogram,0.21948111236925583
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.21411431801089686
Aluminium,Resources / Resources from ground,kilogram,0.19421565089020298
Sulfate Ion,water,kilogram,0.19328829873062095
Chromium,Resources / Resources from ground,kilogram,0.19229104328692018
Ammonia,Emissions / Emissions to air,kilogram,0.18848243583551985
Thorium-228,water,kilo Becquerel,0.18708254007405464
river water,Resources / Resources from water,cubic meter,0.17803420899759592
From Pasture/meadow,Land use / Land transformation,square meter,0.17467898085445266
Hypochlorite,water,kilogram,0.1705196144117809
Copper,Resources / Resources from ground,kilogram,0.16707538153255386
Thorium-230,water,kilo Becquerel,0.1578282984816124
Air,air,kilogram,0.15168549094631043
Radium-224,water,kilo Becquerel,0.14520574023993793
Methane (fossil),Emissions / Emissions to air,kilogram,0.13198036842750596
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.13085599086654193
iron,Emissions / Emissions to water,kilogram,0.12924135427920488
Nickel,Resources / Resources from ground,kilogram,0.12673075772384618
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.12491713702692281
Phosphorus,Emissions / Emissions to water,kilogram,0.12262216343309475
Xenon-138,air,kilo Becquerel,0.12217083122279125
Dump Site,Land use / Land occupation,square meter-year,0.12038420930422337
Waste Heat,water,megajoule,0.11965445430057342
Calcium,Emissions / Emissions to water,kilogram,0.11949905171899841
Inland Water Bodies,land use,square meter-year,0.11737975305216464
Thorium-228,water,kilo Becquerel,0.11517421332672946
Construction Site,Land use / Land occupation,square meter-year,0.11343451758517241
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.11050110846362261
Magnesite,soil,kilogram,0.10989821807379443
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.10778125416029145
From Forest,Land use / Land transformation,square meter,0.10154521826075924
Argon-41,air,kilo Becquerel,0.09479345732734827
Used Air,air,kilogram,0.09457899921762679
Waste water,emissions to water / ocean,kilogram,0.0932742079271716
Zinc,Resources / Resources from ground,kilogram,0.09229503145291501
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.08895321002849649
To Forest,Land use / Land transformation,square meter,0.08626166262528731
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0845359909004236
chloride,Emissions / Emissions to water,kilogram,0.07993377137960404
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.07656963316901404
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.07656963316901261
Sulfate Ion,water,kilogram,0.07553852625495157
"Water, salt, sole",resources / in water,cubic meter,0.07539925147437078
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.07259993119811467
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.07129125055870318
aluminium,Emissions / Emissions to water,kilogram,0.07065773020966065
Phosphate,Emissions / Emissions to water,kilogram,0.06756739588366902
Xenon-131m,air,kilo Becquerel,0.06733593076713547
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.06608524307992171
Phosphorus,Resources / Resources from ground,kilogram,0.06466265760515609
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.06464217389324414
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0625907217596813
Total Organic Carbon,water,kilogram,0.05973121743933755
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.05841170980366543
Ground Water,Resources / Resources from water,cubic meter,0.05349245366588933
Particles (> PM10),air,kilogram,0.04911757360345763
Krypton-85m,air,kilo Becquerel,0.04875287393543967
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.04670512083295039
Uranium alpha,emissions to water / river,kilo Becquerel,0.045489285237596364
