flow,compartment,unit,amount
Thorium-230,water,kilo Becquerel,2.9413327462671763e-05
Waste water,emissions to water / river,kilogram,2.867831904038058e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.787941929351592e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,2.6946899404082887e-05
Magnesite,soil,kilogram,2.6446060518652935e-05
lead,Emissions / Emissions to water,kilogram,2.504556746421853e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.4509285779139792e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,2.447386496632169e-05
magnesium,Emissions / Emissions to water,kilogram,2.390283984365841e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.245470500595476e-05
Water Bodies,land use,square meter-year,2.218680754081538e-05
"To Arable, Non-irrigated",Land use / Land transformation,square meter,2.1814694348946325e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.107138416347464e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,2.104623229684902e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,2.080446658854839e-05
Radium-224,water,kilo Becquerel,2.0269999853077393e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1.8277531268522808e-05
"From Arable, Non-irrigated",Land use / Land transformation,square meter,1.8149809503639866e-05
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,1.810852495609995e-05
Xenon-131m,air,kilo Becquerel,1.7948925055128552e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.7393131699169824e-05
Air,air,kilogram,1.7177337832086563e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,1.705377385267574e-05
Peat,Resources / Resources from ground,megajoule,1.703192056983824e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.686207245231252e-05
Thorium-228,water,kilo Becquerel,1.609670045519175e-05
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,1.5564808442585515e-05
Aluminium,Resources / Resources from ground,kilogram,1.5323556591793443e-05
Calcium,Emissions / Emissions to water,kilogram,1.466674680314911e-05
Chloride,Emissions / Emissions to soil,kilogram,1.4388352366538232e-05
nickel,Emissions / Emissions to water,kilogram,1.4343773800423195e-05
Krypton-85m,air,kilo Becquerel,1.4218930207178796e-05
Radium-224,water,kilo Becquerel,1.394563859936677e-05
Waste Heat,water,megajoule,1.2594383153199967e-05
Chloride,Emissions / Emissions to water,kilogram,1.141119744285811e-05
chloride,Emissions / Emissions to water,kilogram,1.1141055803015316e-05
Thorium-228,water,kilo Becquerel,1.1057196239042361e-05
Chromium,Resources / Resources from ground,kilogram,1.0922559220354336e-05
Calcium,Emissions / Emissions to water,kilogram,1.0889221146152072e-05
Used Air,air,kilogram,1.0710420695126761e-05
Waste water,emissions to water / ocean,kilogram,1.05626620620717e-05
Potassium,"emissions to water / groundwater, long-term",kilogram,1.0541532209367085e-05
Sulfate Ion,water,kilogram,1.0139146618304766e-05
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,1.0129101461322793e-05
Sodium,water,kilogram,9.730181454192722e-06
Ground Water,Resources / Resources from water,cubic meter,9.274566652884271e-06
