flow,compartment,unit,amount
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00020887270879308144
Thorium-228,water,kilo Becquerel,0.00020558324636356829
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.00019762380913010598
Air,air,kilogram,0.00019756868475761884
Calcium,Emissions / Emissions to water,kilogram,0.00018629146317907557
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0001748431880636388
Radium-224,water,kilo Becquerel,0.00015484941420124398
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.00015432472525820279
river water,Resources / Resources from water,cubic meter,0.00014849646638642058
Potassium,"emissions to water / groundwater, long-term",kilogram,0.00013493548006804476
Thorium-230,water,kilo Becquerel,0.0001300276451747797
Waste Heat,water,megajoule,0.00012557575084274513
Used Air,air,kilogram,0.00012318810694776538
Thorium-228,water,kilo Becquerel,0.00012277046845453893
Waste water,emissions to water / ocean,kilogram,0.00012148863063312123
Magnesite,soil,kilogram,0.00011835082464170554
Argon-41,air,kilo Becquerel,0.00011425999986186452
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00011213251317474237
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.00010990361283583641
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00010395855268495016
chloride,Emissions / Emissions to water,kilogram,0.00010155318662447469
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.00010123357919792307
Sulfate Ion,water,kilogram,9.327163616792863e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,8.825077940523704e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,8.663382649770804e-05
Aluminium,Resources / Resources from ground,kilogram,8.467096625243564e-05
Dump Site,Land use / Land occupation,square meter-year,7.54949648327521e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,7.011254383522744e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,6.732934490057353e-05
Total Organic Carbon,water,kilogram,6.469695279309932e-05
Potassium chloride,resources / in ground,kilogram,6.359567574021654e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,5.899740200229133e-05
iron,Emissions / Emissions to water,kilogram,5.7865191375205704e-05
"To Forest, Intensive",Land use / Land transformation,square meter,5.781909034137491e-05
"From Forest, Intensive",Land use / Land transformation,square meter,5.572124715894477e-05
Xenon-138,air,kilo Becquerel,5.4861942260532934e-05
aluminium,Emissions / Emissions to water,kilogram,5.3643785216784105e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,5.337459504136712e-05
Sulfate Ion,water,kilogram,5.1965467119681424e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,5.031455972173789e-05
Phosphate,Emissions / Emissions to water,kilogram,4.878332389524055e-05
Ground Water,Resources / Resources from water,cubic meter,4.5197973472836745e-05
Copper,Resources / Resources from ground,kilogram,4.4448968711013876e-05
Construction Site,Land use / Land occupation,square meter-year,4.3282886898945517e-05
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,4.192050731503276e-05
Chloride,Emissions / Emissions to soil,kilogram,4.1879516248104436e-05
Total Organic Carbon,water,kilogram,4.043579604272537e-05
Polonium-210,water,kilo Becquerel,3.978535748175419e-05
Chromium,Resources / Resources from ground,kilogram,3.931887979875182e-05
Xenon-131m,air,kilo Becquerel,3.909452667750859e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,3.845064603442645e-05
Uranium alpha,emissions to water / river,kilo Becquerel,3.842247721319828e-05
Basalt,soil,kilogram,3.833355659706741e-05
"Suspended Solids, Unspecified",water,kilogram,3.5780839564145635e-05
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,3.216225004081833e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.118283824352132e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.118283824351482e-05
