flow,compartment,unit,amount
aluminium,Emissions / Emissions to water,kilogram,0.21519644386629067
Radium-228,water,kilo Becquerel,0.21472333396989807
Lead-210,water,kilo Becquerel,0.2118860892545425
Sodium,water,kilogram,0.2052879007888673
Sodium,water,kilogram,0.2040154986383114
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.20203588730632602
Xenon-138,air,kilo Becquerel,0.2019174702931005
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.19882407241338274
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.18485501743064625
Phosphate,Emissions / Emissions to water,kilogram,0.18438732594498533
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.17982506134729354
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.17196900556250924
chloride,Emissions / Emissions to water,kilogram,0.16955924455522126
Methane (fossil),Emissions / Emissions to air,kilogram,0.16835838375090859
From Unspecified,Land use / Land transformation,square meter,0.16721515690560454
Calcium,Emissions / Emissions to water,kilogram,0.15931932807437713
Argon-41,air,kilo Becquerel,0.15396229747571202
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.14918896484324567
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.1486851021494632
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.14327292151942594
Used Air,air,kilogram,0.13989455357347402
Radium-228,water,kilo Becquerel,0.1381944370407418
Waste water,emissions to water / ocean,kilogram,0.1379645987569214
To Mineral Extraction Site,Land use / Land transformation,square meter,0.13682250742928007
Lead-210,water,kilo Becquerel,0.13287875961147547
fluoride,Emissions / Emissions to water,kilogram,0.1317345164652958
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.13078997684987548
To Forest,Land use / Land transformation,square meter,0.1287039908074437
From Forest,Land use / Land transformation,square meter,0.12674008558202216
Methane (fossil),Emissions / Emissions to air,kilogram,0.12445185117774679
Particles (PM10),Emissions / Emissions to air,kilogram,0.11932071507521817
Basalt,soil,kilogram,0.11752213716378075
Xenon-131m,air,kilo Becquerel,0.11103282478718994
Particles (> PM10),air,kilogram,0.10934055146898897
Barite,resources / in ground,kilogram,0.1007981026088666
manganese,Emissions / Emissions to water,kilogram,0.09824692057014121
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.08186530254245297
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.08130143601019763
Krypton-85m,air,kilo Becquerel,0.08044750904990244
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.08032574066119624
From Pasture/meadow,Land use / Land transformation,square meter,0.07979730998122385
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.07799269430924323
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.07595229424728482
Uranium alpha,emissions to water / river,kilo Becquerel,0.07475465477388721
Phosphate,Emissions / Emissions to water,kilogram,0.07390670133893557
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0715389139646031
Water,air,cubic meter,0.06821155601753874
Hypochlorite,water,kilogram,0.06279770945914508
Silicon,Emissions / Emissions to water,kilogram,0.06270637152766706
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.057481889323462834
nickel,Emissions / Emissions to water,kilogram,0.05458636685599139
Radium-224,water,kilo Becquerel,0.05414306995113559
Manganese,Resources / Resources from ground,kilogram,0.05175630178259476
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.04947891958348773
"To Forest, Intensive",Land use / Land transformation,square meter,0.0489915145126459
"From Forest, Intensive",Land use / Land transformation,square meter,0.04845350031140659
Chemical Oxygen Demand,water,kilogram,0.04776670932285664
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.04626965291815791
zinc,Emissions / Emissions to water,kilogram,0.04603087268205624
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.04482832414854634
Thorium-228,water,kilo Becquerel,0.043025381668666166
Waste Heat,water,megajoule,0.04007655177614981
Calcium,Emissions / Emissions to water,kilogram,0.040016464947692065
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.03976655991173415
Nitrate,Emissions / Emissions to water,kilogram,0.039646742079219956
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.03874936005953458
Calcium,Emissions / Emissions to water,kilogram,0.03553509589308672
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.035308631868441714
Radium-224,water,kilo Becquerel,0.034847401534112234
Uranium alpha,emissions to water / lake,kilo Becquerel,0.03382417775560267
Construction Site,Land use / Land occupation,square meter-year,0.031084049863165562
To Industrial Area,Land use / Land transformation,square meter,0.02957590267894023
"Solids, Inorganic",water,kilogram,0.028331564336095644
Thorium-228,water,kilo Becquerel,0.027635771502111262
Xenon-137,air,kilo Becquerel,0.026350252565500894
Polonium-210,Emissions / Emissions to air,kilo Becquerel,0.026349975231140552
boron,Emissions / Emissions to water,kilogram,0.025844579177900104
Krypton-88,air,kilo Becquerel,0.025694360803284102
Biological Oxygen Demand,water,kilogram,0.025008709460320837
"Solids, Inorganic",water,kilogram,0.02381915912516935
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.023620744991081466
Shrub Land,Land use / Land occupation,square meter-year,0.022258721876561003
To Dump Site,Land use / Land transformation,square meter,0.020717366214009495
Krypton-87,air,kilo Becquerel,0.0206742681729723
strontium,Emissions / Emissions to water,kilogram,0.01996976231779085
Chloride,Emissions / Emissions to water,kilogram,0.019776649189270756
To Unspecified,Land use / Land transformation,square meter,0.018275228897732365
Potassium chloride,resources / in ground,kilogram,0.01813899631379249
From Industrial Area,Land use / Land transformation,square meter,0.0174623063453396
Methane (fossil),Emissions / Emissions to air,kilogram,0.017352121047877127
Radium-228,air,kilo Becquerel,0.016541668352172283
